p_id,p_name,address,tags,open_time,open_day,category,price,p_rate,link
b10,서울숲,서울 성동구 성수동1가 678-1,아이들이 좋아하는 바닥분수가 있어 더욱 시원하고 즐거운 서울숲,도시근린공원,"매일 00:00 ~ 24:00 (무료 입장)
더보기",b,,0/5,https://place.map.kakao.com/11331488#comment
b11,남산공원,서울 중구 남산공원길 125-54 (우)04628,,도시근린공원,,b,,0/5,https://place.map.kakao.com/8246129#comment
b12,여의도한강공원,서울 영등포구 여의도동 85,"여의도한강공원은 정치, 금융, 언론의 중심지인 여의도에 자리하고 있으며, 지하철ㆍ버스 등 대중교통으로 접근성이 좋아 직장인과 일반시민들이 즐겨찾는 명소이다.",도시근린공원,"매일 00:00 ~ 24:00
더보기",b,,0/5,https://place.map.kakao.com/10952963#comment
b13,,서울 서초구 신반포로11길 40 (우)06500,"한강르네상스 사업으로 조성된 반포한강공원에서 반포대교 교량 양쪽에 설치된 달빛무지개분수는 총길이1,140m(상·하류 570m)이고 2008년도에 세계에서 가장 긴 교량분수로 세계기네스협회에 등재되어 있으며, 물을 뿜을 때마다 아름다운 풍경을 연출하여 일곱빛깔 무지개처럼 다양한 볼거리와 즐길거리를 제공합니다.",도시근린공원,,b,,0/5,https://place.map.kakao.com/8142957#comment
b14,선유도공원,서울 영등포구 선유로 343 (우)07200,,공원,매일 06:00 ~ 24:00,b,,0/5,https://place.map.kakao.com/17163566#comment
b15,올림픽공원,서울 송파구 올림픽로 424 (우)05540,,공원,"매일 05:00 ~ 22:00 (광장지역은 05:00~24:00)
더보기",b,,0/5,https://place.map.kakao.com/8023565#comment
b16,북악팔각정,서울 종로구 북악산로 267 (우)03010,북악산의 능성을 따라 동북으로 뻗친 관광도로,도시근린공원,,b,,0/5,https://place.map.kakao.com/8572077#comment
b17,뚝섬한강공원,서울 광진구 자양동 427-6,"한강공원이 조성되기 이전부터 강변유원지로 유명했던 곳입니다. 수상에서는 시원한 바람을 맞으며 낭만과 젊음을 만끽할 수 있는 윈드서핑, 수상스키, 모터보트 등 수상스포츠가 활발하게 이루어지고 있습니다.",도시근린공원,연중무휴,b,,0/5,https://place.map.kakao.com/8136085#comment
b18,낙산공원,서울 종로구 낙산길 41 (우)03085,"낙산의 자연환경과 역사적 문화환경을 복원함으로써 서울시민들에게 쾌적한 공원 경관을 제공하고, 자연 탐방을 통해 역사와 문화 교육의 장을 제공할 목적으로 조성된 근린공원",도시근린공원,"매일 09:00 ~ 17:00
더보기",b,,0/5,https://place.map.kakao.com/8253524#comment
b19,보라매공원,서울 동작구 신대방동 722,"보라매공원은 서울특별시 동작구 신대방동 395번지 대방로 219 일대인 옛날 공군사관학교 자리를 1985년 12월 20일에 보수하여 1986년 5월 5일 개원하면서, 공군사관학교 때의 상징인 ""보라매""를 그대로 이름에 사용하여 오늘에 이르고 있다.",도시근린공원,연중무휴,b,,0/5,https://place.map.kakao.com/11338178#comment
b110,북서울꿈의숲,서울 강북구 번동 산 28-6,"옛 드림랜드(90만㎡) 부지에 조성되는 ‘북서울 꿈의 숲’은 월드컵공원(276만㎡), 올림픽공원(145만㎡), 서울숲(120만㎡)에 이어 서울에서 4번째로 큰 공원이다. 공원을 둘러싸는 곳은 벚꽃길을, 공원 북쪽 아파트 지역과 인접한 곳에는 단풍숲을 조성했다.",도시근린공원,연중무휴,b,,0/5,https://place.map.kakao.com/11321061#comment
b111,한강공원잠원지구,서울 강남구 압구정동 386,도심에 있어 교통이 편리하고 이용객이 많은 한강공원,도시근린공원,,b,,0/5,https://place.map.kakao.com/17384905#comment
b112,망원한강공원,서울 마포구 마포나루길 467 (우)04005,잔디밭이 조성되어 시야가 넓고 산책로 등 휴식공간이 짜임새 있게 되어 있는 한강공원,도시근린공원,,b,,0/5,https://place.map.kakao.com/8126939#comment
b113,잠실한강공원,서울 송파구 잠실동 1-1,각종 꽃과 나무들이 잘 조성되어 어린이들의 자연학습과 소풍장소로 인기가 높은 한강공원,도시근린공원,,b,,0/5,https://place.map.kakao.com/10952965#comment
b114,난지한강공원,서울 마포구 상암동 495-72,여가·레저 및 생태습지공원의 기능을 고루 갖추어져 있고 내외국인들을 위한 캠핑장과 국궁장 등이 조성되어 있는 곳,도시근린공원,,b,,0/5,https://place.map.kakao.com/8126938#comment
b20,하늘공원,서울 마포구 상암동 481-72,월드컵공원 중 가장 하늘 가까운 곳에 위치한 하늘공원은 난지도 제2 매립지에 들어선 초지공원으로 쓰레기 매립지 안정화공사의 결과로 형성된 인공적인 땅으로 만들어졌다.,도시근린공원,,b,,0/5,https://place.map.kakao.com/8128910#comment
b21,경의선숲길,서울 마포구 동교동 190-1,,공원,,b,,0/5,https://place.map.kakao.com/1158487374#comment
b22,서서울호수공원,서울 양천구 남부순환로64길 20 (우)07916,,도시근린공원,,b,,0/5,https://place.map.kakao.com/18164705#comment
b23,이촌한강공원,서울 용산구 이촌로72길 62 (우)04427,"청소년을 위한 청소년광장과 X-게임장, 국제규모의 인라인스케이트장, 농구장, 테니스장, 게이트볼장 등의 운동경기장 등이 여가 및 레포츠 공간으로 유용하게 활용",도시근린공원,,b,,0/5,https://place.map.kakao.com/8625698#comment
b24,양재시민의숲,서울 서초구 양재동 236,"서초구 양재동에 위치한 공원으로 숲이 좋아 연인들의 만남의 장소로 이용됩니다.현재 도심에서는 매우 보기 드문 울창한 수림대를 형성하고 있고 특히 가을에는 감, 모과 등 과일이 열려 풍성한 자연을 만끽할 수 있습니다.",도시근린공원,"매일 00:00 ~ 24:00
더보기",b,,0/5,https://place.map.kakao.com/11345935#comment
b25,여의도공원,서울 영등포구 여의공원로 68 (우)07243,"여의도에 위치한 공원으로 자연생태의 숲, 문화의 마당, 잔디마당, 한국 전통의 숲으로 구분됩니다.",도시근린공원,연중무휴,b,,0/5,https://place.map.kakao.com/11358098#comment
b26,도산근린공원,서울 강남구 신사동 649-9,도산 안창호 선생의 애국정신과 민중의 교화를 위한 교육정신을 국민의 귀감으로 삼게 하고자 조성된 근린공원,도시근린공원,,b,,0/5,https://place.map.kakao.com/7832114#comment
b27,탑골공원,서울 종로구 종로 99 (우)03140,탑골공원은 조선시대 원각사(圓覺寺) 터에 세운 서울 최초의 근대식 공원으로‘파고다공원’이라고도 부름,도시근린공원,,b,,0/5,https://place.map.kakao.com/8625328#comment
b28,마로니에공원,서울 종로구 대학로 104 (우)03087,마로니에 나무가 자라고 있어서 마로니에공원이라는 이름이 붙은 곳,도시근린공원,"매일 00:00 ~ 24:00
더보기",b,,0/5,https://place.map.kakao.com/10353868#comment
b29,서울로7017,서울 중구 퇴계로 33 (우)04528,,공원,,b,,0/5,https://place.map.kakao.com/27327842#comment
b210,효창공원,서울 용산구 효창원로 177-18 (우)04311,느티나무로 지역주민의 쾌적하고 편안한 이용을 할 수 있는 곳,도시근린공원,연중무휴,b,,0/5,https://place.map.kakao.com/10955757#comment
b211,동대문디자인플라자(DDP) 동대문역사문화공원,서울 중구 을지로 281 (우)04566,"시민들이 도시 일상 속에서 서울역사와 시민참여문화, 조경과 스트리트퍼니처 등을 통합적으로 편하게 누리는 친환경 창조공원",도시근린공원,,b,,0/5,https://place.map.kakao.com/11666813#comment
