,u_id,title,review,u_rate,place_name,res_title,p_id
0,starrr m,여기 들러볼만하다.,여기 들러볼만하다. 다른 곳에서는 볼수 없는 독특한 분위기를 가지고 있다. 엄청 큰 규모는 아니지만 볼만하며 주변 풍광도 좋은 편이다.,5,관음사,관음사,84
1,선이 현,습기가 많고 이끼가 ...,관광성 절이고 여름이 아니어도 습한지 이끼가 절 전체에 가득했습니다. 지금은 공사중이라 고요한 절이라기보다는 공사장 온듯하구요 정비가 되고 나서 가면 아주 좋을거 같아요,3,관음사,관음사,84
2,jeongsuk11,관음사 절,불교신자가 아니더라고 한번쯤은 가볼만한 절입니다. 특히 눈많이 내린 겨울에가면 경치가 멋있더라구요. 올라가는길을 힘들지 않습니다,5,관음사,관음사,84
3,youga1236,제주시와 가까운곳,조금 떨어져있지만 제주시와는 멀지 않아서 한적하게 조용히 다녀오기 좋았던 곳 적당히 사람들이 있으며 외교에 다녀오기 좋은 곳,4,관음사,관음사,84
4,sdlove316,볼만합니다.,한번쯤 볼만 합니다. 우리나라에 이런 사찰도 있구나 라는 생각을 절로 하시게 될겁니다. 한라산 등반 코스 중 한곳 입구에 있습니다. 잠시 쉬어가기도 좋습니다.,4,관음사,관음사,84
5,starrr m,여기 들러볼만하다.,여기 들러볼만하다. 다른 곳에서는 볼수 없는 독특한 분위기를 가지고 있다. 엄청 큰 규모는 아니지만 볼만하며 주변 풍광도 좋은 편이다.,5,관음사,관음사,84
6,선이 현,습기가 많고 이끼가 ...,관광성 절이고 여름이 아니어도 습한지 이끼가 절 전체에 가득했습니다. 지금은 공사중이라 고요한 절이라기보다는 공사장 온듯하구요 정비가 되고 나서 가면 아주 좋을거 같아요,3,관음사,관음사,84
7,jeongsuk11,관음사 절,불교신자가 아니더라고 한번쯤은 가볼만한 절입니다. 특히 눈많이 내린 겨울에가면 경치가 멋있더라구요. 올라가는길을 힘들지 않습니다,5,관음사,관음사,84
8,youga1236,제주시와 가까운곳,조금 떨어져있지만 제주시와는 멀지 않아서 한적하게 조용히 다녀오기 좋았던 곳 적당히 사람들이 있으며 외교에 다녀오기 좋은 곳,4,관음사,관음사,84
9,sdlove316,볼만합니다.,한번쯤 볼만 합니다. 우리나라에 이런 사찰도 있구나 라는 생각을 절로 하시게 될겁니다. 한라산 등반 코스 중 한곳 입구에 있습니다. 잠시 쉬어가기도 좋습니다.,4,관음사,관음사,84
10,starrr m,여기 들러볼만하다.,여기 들러볼만하다. 다른 곳에서는 볼수 없는 독특한 분위기를 가지고 있다. 엄청 큰 규모는 아니지만 볼만하며 주변 풍광도 좋은 편이다.,5,관음사,관음사,84
11,선이 현,습기가 많고 이끼가 ...,관광성 절이고 여름이 아니어도 습한지 이끼가 절 전체에 가득했습니다. 지금은 공사중이라 고요한 절이라기보다는 공사장 온듯하구요 정비가 되고 나서 가면 아주 좋을거 같아요,3,관음사,관음사,84
12,jeongsuk11,관음사 절,불교신자가 아니더라고 한번쯤은 가볼만한 절입니다. 특히 눈많이 내린 겨울에가면 경치가 멋있더라구요. 올라가는길을 힘들지 않습니다,5,관음사,관음사,84
13,youga1236,제주시와 가까운곳,조금 떨어져있지만 제주시와는 멀지 않아서 한적하게 조용히 다녀오기 좋았던 곳 적당히 사람들이 있으며 외교에 다녀오기 좋은 곳,4,관음사,관음사,84
14,sdlove316,볼만합니다.,한번쯤 볼만 합니다. 우리나라에 이런 사찰도 있구나 라는 생각을 절로 하시게 될겁니다. 한라산 등반 코스 중 한곳 입구에 있습니다. 잠시 쉬어가기도 좋습니다.,4,관음사,관음사,84
15,starrr m,여기 들러볼만하다.,여기 들러볼만하다. 다른 곳에서는 볼수 없는 독특한 분위기를 가지고 있다. 엄청 큰 규모는 아니지만 볼만하며 주변 풍광도 좋은 편이다.,5,관음사,관음사,84
16,선이 현,습기가 많고 이끼가 ...,관광성 절이고 여름이 아니어도 습한지 이끼가 절 전체에 가득했습니다. 지금은 공사중이라 고요한 절이라기보다는 공사장 온듯하구요 정비가 되고 나서 가면 아주 좋을거 같아요,3,관음사,관음사,84
17,jeongsuk11,관음사 절,불교신자가 아니더라고 한번쯤은 가볼만한 절입니다. 특히 눈많이 내린 겨울에가면 경치가 멋있더라구요. 올라가는길을 힘들지 않습니다,5,관음사,관음사,84
18,youga1236,제주시와 가까운곳,조금 떨어져있지만 제주시와는 멀지 않아서 한적하게 조용히 다녀오기 좋았던 곳 적당히 사람들이 있으며 외교에 다녀오기 좋은 곳,4,관음사,관음사,84
19,sdlove316,볼만합니다.,한번쯤 볼만 합니다. 우리나라에 이런 사찰도 있구나 라는 생각을 절로 하시게 될겁니다. 한라산 등반 코스 중 한곳 입구에 있습니다. 잠시 쉬어가기도 좋습니다.,4,관음사,관음사,84
20,starrr m,여기 들러볼만하다.,여기 들러볼만하다. 다른 곳에서는 볼수 없는 독특한 분위기를 가지고 있다. 엄청 큰 규모는 아니지만 볼만하며 주변 풍광도 좋은 편이다.,5,관음사,관음사,84
