,u_id,title,review,u_rate,place_name,p_id
0,jennieB,Night view is very nice and perfect!,"도심 한가운데 이렇게 사찰이 있을줄 몰랐는데, 너무너무 멋집니다. 특히 저녁에 방문하시면 정말정말 아름다운 모습을 보실수 있겠습니다. 다음에 또 방문하고 싶을정도로 마음이 평안해지는 장소!",5,봉은사,0
1,Gino Gin,도심 한복판의 사찰의 한가한 모습이 좋아요,삼성동 코엑스 뒷편에 위치하여 있으며 조계사 등과 함께 서울을 대표하면서 도심내에 있는 대형 불교 사찰. 주변의 번다한 도시모습과는 달리 평온한 경내 모습을 보임. 법당안에는 화려한 부처님과 단청의 모습이 아름다우며 실내로 가끔씩 비둘기가 날아다니는 모습이 이채롭습니다,5,봉은사,0
2,Alpertbyun,봉은사,서울 시내 강남에 있는 봉은사 큰절입니다. 9호선 봉은사역에 위치하고있고 찾기 쉬운 절입니다. 한국 불교 문화에 관심있는 외국인들한테 좋은곳 입니다.,5,봉은사,0
3,ye0ngjus,봉은사,봉은사는 삼성동에 있는 절이다. 강남 도심 한복판에 절이 있어서 뜬금없을 수도 있는데 그래도 도시에서 이렇게 불교 절을 체험해볼수 있는 곳이 있어서 접근서이 좋으니 한국 불교 문화에 관심있는 여행객들은 방문해볼 것을 추천한다.,3,봉은사,0
4,407yjj,서울에 있는 큰 규모의 절,서울 여행을 오시는 분이라면 코엑스와 더불어 삼성동에서 들를만한 곳이 아닐까 생각합니다. 저도 가보고 나서 서울에 이렇게 큰 사찰이 있다는 사실만으로 놀라웠어요,5,봉은사,0
5,snowline,서울 도심의 평화로운 사찰,코엑스 뒷편에 있는 사찰입니다. 봉은사 앞에는 같은 많은 건물들이 있어 밤에 가면 건물의 불빛과 함께 예쁜 풍경을 볼 수 있습니다. 이 절은 신라때부터 중요한 장소였다고 합니다. 조선 명종 때 보우 스님이 이 절의 복원에 큰 역할을 했다고 하네요. 조선초기 숭유억불의 흐름에서는 특이한 현상입니다. 사찰 안에는 석탑과 대웅전이 있습니다. 석탑 주변에는 향로가 많이 있어요. 이곳에서 사람들은 소원을 빌고 대웅전에서는 예배를 드립니다. 보물로 지정된 세개의 불상도 볼 수 있습니다. 한국에서 가장,5,봉은사,0
6,ahirity,삼성역 방문 시 함께 가기 좋은 위치의 절,서울에서 방문하기 좋은 절 중 한 곳입니다. 규모가 상당하며 삼성역 코엑스와 함께 묶어 방문하면 좋습니다. 지하철역과 버스 등 교통이 발달한 대로변에 위치해 있습니다.,4,봉은사,0
7,George_Korean,서울에서 쉽게 보기 힘든 곳,서울에서는 쉽게 보기 힘든 느낌의 장소인데 서울의 중간에서 고즈넉함을 나름대로 느낄 수 있는 공간입니다. 저는 개인적으로 좋았습니다.,5,봉은사,0
8,JheeA95,도심속 힐링하기 좋은 곳,높은 빌딩들 사이에 있는데도 막상 여기 들어서면 편안해집니다. 특히 대웅전 뒤로 올라가면 숲에 들어와 잇는 기분을 느낄 수 잇어서 힐링하기에 좋아요,5,봉은사,0
9,맥주헌터,불교신자가 아니라면 굳이..,시기마다 사람들이 몰리는 수준은 다르다. 봄과 가을에는 간단히 나들이 가듯 들리기도 좋고. 코엑스랑 가깝다 라는 점에서 외국인 친구들을 데리고 거대 불상을 보러 가기에는 좋다. 특히 외국인 친구중에 불교에 관심을 가진 친구가 있다면 코엑스랑 같이 가기좋은 필수코스.,3,봉은사,0
10,Jinny MC,템플스테이,템플스테이 프로그램으로 1박2일의 일정으로 지냈다. 도심 한복판에 이런 큰 절이 있다는 게 신기하다. 간단히 천천히 산책할만하다,4,봉은사,0
11,MyeongSeon K,도심 속에 있는 큰 절,도심 중앙에 큰 절이 위치해있다. 호텔과 무역센터 사이에 있으며 규모도 넓다. 봉은사에 위치해있는 미륵대불은 큰 구경거리가 된다.,5,봉은사,0
12,Wander823667,강남에 절이?,"서울 강남에, 삼성동에 이런 절이 있다는게 너무 신선했었어요. 사실 예전에는 주차장이용으로 많이 썼지만 한 번 들려서 내부를 들여다보는것도 정말 좋은 기회라 생각해요. 가족과 함께, 연인과 함께, 누구와 와도 좋은 경험을 할 것이라 생각들어요.",5,봉은사,0
13,쏘옹쏭,행사때 가볼만함,"석가탄신일에 정말 가볼만함 서울 한복판에 이렇게 큰 절이 잘 없는거 같고, 특히 행사땐 등이 정말 너무 이쁘게 되어있음 여러군데 가봤지만 석가탄신일때 등은 여기가 제일 이쁘게 되있는듯",3,봉은사,0
14,missgoooo,한번쯤,들릴만한 곳이에요 특히 외국인들에게 종교에 대한 탐구나 탐방을 원하신다면 반드시 들려보아야할 것입니다 종교인들도요,5,봉은사,0
15,클레오,봉은사 오세요,"도심속에서 평안함을 느끼고 싶으시다면 꼭 방문햅세요. 불탑을 돌면서 절하는 분들, 대웅전 목탁소리까지 마음이 편안해진답니다^^",5,봉은사,0
16,pic_bd,도심 속 고즈넉함. 봉은사.,아니 이런곳에 절이 있어? 봉은사를 처음 접해본 사람들의 반응일 것이다. 서울 한복판 CBD에 이런 큰 절이 있다니. 빨리빨리만 외치는 서울에서 조금의 안식을 찾을 수 있는 곳이 아닐까 싶다.,4,봉은사,0
17,Joon K,서울에 큰 절,유년시절 근처에 살았지만 이렇게 큰 절이 있는줄은 몰랐네요. 항상 코엑스 영화관에만 시간을 보냈던거같아요. 이러한 절이 서울 안에있는건 좋은거 같아요. 꼭 종교적 목적이 아니어도 방문해 보는건 좋은거 같습니다.,5,봉은사,0
18,Sung Chan L,정신없는 번화가속의 안식처,코엑스를 갔다가 친구추천으로 가게 되었는데 코엑스보다 더 좋았던곳. 종교에 관계없이 순식간에 교외로 나온듯한 그즈넉한 행복을 느끼게 됩니다. 정신없는 코엑스에 지쳐갈때쯤 방문해서 재충전하기를 추천합니다.,4,봉은사,0
19,아이언맨66,도심 속 정원,같은 곳이에요. 무교인데 산책하러 자주 가요 마음도 편해지고 조용해서 사색하기도 좋아요 계절마다 피는 꽃들도 예뻐서 출사 나오시는 분들도 꽤 계세요,5,봉은사,0
20,진규 한,엄청나게 큰 불상이 있다.,"사실 기대하지 않고 절이라기에 방문했는데, 위쪽으로 조금만 올라가면 엄청나게 거대한 규모의 불상이 있어 신선했다. 불교는 아니었지만 꽤 볼만했던곳. 짧게 있다오기 좋다.",5,봉은사,0
21,springspring404,서울 한복판의 조용한 사찰,코엑스인근에 있어서 도심에 이런곳이!! 할 정도로 전통있는 사찰입니다. 꼭 한번 들려보고 석가탄신일 즈음에는 등을 달라서 더 멋집니다,5,봉은사,0
22,JUSEONG Y,서울 한가운데에 절이 있다니^^,"절은 산속에만 있는줄 알았는데, 대한민국 수도 서울 한복판에 절이 있는곳이 있더라고요. 바로 봉은사 인데요. 삼성역, 봉은사역에서 매우 가까운 절입니다. 삼성역에 코엑스 구경갔다가, 약간의 도보로 봉은사 구경 갈 수 있는 곳이지요. 정말 대도시의 거대한 건물속에 마음의 안정을 취할 수 있는 곳입니다~ 자연을 느끼고 조용하게 힐링하고 싶으시다면 갈만한 곳입니다~",5,봉은사,0
23,kyuseon,도심 속의 큰 절,이만한 큰 절이 있다는게 놀라울 정도구요. 주차장도 넓은데 가끔 절에서 행사하면 도로가 다 막힐 정도로 많이들 오시네요,5,봉은사,0
24,nanal78878,봉은사,외국 방문객이 많은 절입니다. 코엑스 근처에 있어서 함께 구경하기 좋습니다. 접근성이 좋습니다.,5,봉은사,0
25,진규 한,엄청나게 큰 불상이 있다.,"사실 기대하지 않고 절이라기에 방문했는데, 위쪽으로 조금만 올라가면 엄청나게 거대한 규모의 불상이 있어 신선했다. 불교는 아니었지만 꽤 볼만했던곳. 짧게 있다오기 좋다.",5,봉은사,0
26,springspring404,서울 한복판의 조용한 사찰,코엑스인근에 있어서 도심에 이런곳이!! 할 정도로 전통있는 사찰입니다. 꼭 한번 들려보고 석가탄신일 즈음에는 등을 달라서 더 멋집니다,5,봉은사,0
27,JUSEONG Y,서울 한가운데에 절이 있다니^^,"절은 산속에만 있는줄 알았는데, 대한민국 수도 서울 한복판에 절이 있는곳이 있더라고요. 바로 봉은사 인데요. 삼성역, 봉은사역에서 매우 가까운 절입니다. 삼성역에 코엑스 구경갔다가, 약간의 도보로 봉은사 구경 갈 수 있는 곳이지요. 정말 대도시의 거대한 건물속에 마음의 안정을 취할 수 있는 곳입니다~ 자연을 느끼고 조용하게 힐링하고 싶으시다면 갈만한 곳입니다~",5,봉은사,0
28,kyuseon,도심 속의 큰 절,이만한 큰 절이 있다는게 놀라울 정도구요. 주차장도 넓은데 가끔 절에서 행사하면 도로가 다 막힐 정도로 많이들 오시네요,5,봉은사,0
29,nanal78878,봉은사,외국 방문객이 많은 절입니다. 코엑스 근처에 있어서 함께 구경하기 좋습니다. 접근성이 좋습니다.,5,봉은사,0
30,ᄌ ᄀ,조계사처럼,서울에 있는 오래된 절이에요. 도심안에 고즈넉한 느낌이 정말 좋아요. 조용하게 둘러보면 좋습니다. 기도하시는 분들이 계시니 시끄럽게 떠들면 안되ㅐ요,5,봉은사,0
31,J J,도심속 휴식처,정신없는 삼성동에서 명상하기 좋은 곳. 절이 굉장히 넓어서 산책하기도 휼륭하다. 봉은사역과 가까움,4,봉은사,0
32,Jelsomina,서울에 위치한 대표적인 절,봉은사는 코엑스 근처에 있는 큰 절이죠. 꼭 신자가 아니라도 한번 쯤 둘러봐도 좋은 곳입니다.,3,봉은사,0
33,Hyewon P,서울 한복판에서 느끼는 절,다른 절들과는 다르게 접근성이 높고 상징적인 느낌이 강한 곳입니다. 한국사람들보다도 외국인들이 많이 방문하는 곳 같아요.,4,봉은사,0
34,supermin0,서울 도심에서 찾을수 있는 힐링 공간,"근처 코엑스 방문 후에 산책하러 잠깐 들렀습니다. 봉은사 앞 도로는 자동차들 때문에 꽉 막히고 시끄럽지만, 내부로 들어가면 차분해지고 편안한 느낌을 주는 아주 신비로운 곳이예요",3,봉은사,0
35,Ju-yeon Y,서울 시내 절 중 접근성이 제일 좋아요,산 속에 있는게 아니라서 접근성이 좋고 봉은사역이 새로 생겨서 가기도 편해졌어요~ 절도 꽤 크고 위로 올라가면 서울 시내가 보여서 전망도 좋아요 꽃 폈을때 가면 너무 이쁩니다,3,봉은사,0
36,Jungmin L,도심속 힐링,큰 절이지만 바로옆 코엑스가 있고 도심속에 은근 잘어울리는.곳이에요. 가끔씩 멀리있는 산 속의 절 아니더라도 조용히 둘러보고 가면 좋습니다.,5,봉은사,0
37,형민 김,잠실,지하철9호선 봉은사역에서 가까워 접근이 편리하고 서울내 가장큰 사찰이며 템플스테이도 할 수있으니 들려보세요,4,봉은사,0
38,viajero_nanasand,코엑스 근처에 있어 코엑스와 함께 들리기 좋은곳,코엑스에 왔다가 근처에 봉은사가 있다고 해서 산책겸 아이들과 봉은사에 들렀습니다. 절이었으나 입구에 절 기념품 가게도 있어서 특이했다는 기억이 듭니다. 코엑스에 호텔이 있어 외국인들도 많이 방문하는 절인듯 합니다. 특색이 좀더 있었으면 좋겠다는 생각이 들었습니다,3,봉은사,0
39,JING L,가볼만 합니다~,삼성동 코엑스 뒷편에 위치하여 코엑스 들릴때 꼭 걸어봅니다. 쉬어갈 곳도 있고 산책하면 기분이 좋아져요~ 벚꽃 보는 장소로도 추천합니다.,4,봉은사,0
40,민영 송,서울에서 가볼만한 곳,삼성동에 위치해 접근성이 좋음. 외국인 친구와 코엑스에 들려서 놀다가 잠시 들리면 좋을 것 같음,4,봉은사,0
41,지니지니지니지니,도심 접근성 좋아요,,4,봉은사,0
42,,,,5,봉은사,0
43,,,,4,봉은사,0
44,,,,3,봉은사,0
45,민영 송,서울에서 가볼만한 곳,삼성동에 위치해 접근성이 좋음. 외국인 친구와 코엑스에 들려서 놀다가 잠시 들리면 좋을 것 같음,4,봉은사,0
46,지니지니지니지니,도심 접근성 좋아요,도심안에 위치해있어 지나치기 일수였는데 새해 방문했는데 너무좋아서 잊지못해요 ㄹ해도 마지막날 가서 종울리는거 구경하고싶어요,4,봉은사,0
47,형근 김,삼성동 봉은사,코엑스 몰 건너편에 있는 봉은사 입니다. 불교 신자가 아니더라도 도심 속에서 고요와 평안을 찾아 한 번 들리면 좋을 것 같습니다. 조금만 안으로 들어가도 풍경소리와 함께 잠시나마 평화를 느끼실 수 있습니다.,5,봉은사,0
48,옥자 김,조용하게 돌아볼 수 있는곳,도심 한가운데 휴식할 수 있는 조용한 절. 각 전각에 대한 설명도 잘 되어있고 정원의 화초나 나무의 이름도 정성껏 표기해 두어 여유롭게 둘러보기 좋은 곳. 코엑스에 놀러 왔다면 봉은사에서 잠깐의 휴식을 갖는것도 좋을듯함,4,봉은사,0
49,apeach11,삼성동 가는길에 잠시 쉴 수 있는 곳,삼성동에 자주 가는데 한번씩 봉은사에 들러 심신을 편히 쉬면서 산책하고 간단히 둘러보기 좋은곳.,3,봉은사,0
50,Jiyeon S,종종가는곳,도심속에서 조용히 걷고싶을때 종종갑니다. 코엑스 지하의 복잡함에서 떠나 가서 한바퀴 걷고오면 차분해지고 좋아요,5,봉은사,0
51,DragonT,산책하기 좋은곳,삼성역 근처 점심시간에 식후 잠깐 걷기 좋는 절로 상당한 규모입니다. 잠깐이나마 회사 업무를 잊어버리고 마음을 비우기 좋음,3,봉은사,0
