,u_id,title,review,u_rate,place_name,res_title,p_id
0,Joon K,라커. 선물. 팜플렛 다양한 여행소개소,인터넷이 나돌던 지하철 열쇠고리를 구하기위해 방문한곳. 다양한 정보지와 선물들로 많았다. 특히나 캐리어 보관장소 (유료) 가 있다는 것도 흥미로웠다.,4,명동관광정보센터,명동관광정보센터,83
1,Emilia S,아주친절했어요,자료도많고 한복체험도할수있고 외국친구랑 Discover Seoul Pass 사러 갔다가 유익한 자료 많이가져갑니다. 기념품관도 조악하지 않고 예쁘고 좋은 물건들이 많이 있어서 구경하기도 좋았어요. 아! 엽서 쓰기 프로그램이있어서 엽서 구매해서 써서 국제우편으로 부칠수도있어요,5,명동관광정보센터,명동관광정보센터,83
2,패드리토,외국인 친구와 함께 방문,외국에서 친구가 놀러와서 영어로 된 정보를 얻을 겸 해서 방문해봤습니다. 친절한 안내와 여러 자료들을 얻을 수 있어서 만족스러웠습니다.,5,명동관광정보센터,명동관광정보센터,83
3,BillNabilah,친절하고 수용 가능한 직원,여기서 무료지도를 얻을 수 있으며 약 15 분 동안 한복을 무료로 착용 할 수 있습니다. 또한 모든 질문에 답변합니다. 내가 여기에 들러서 다행이야. 떠나기 전에 직원들은 나에게 기념품을 주었다. 많은 감사 :),5,명동관광정보센터,명동관광정보센터,83
4,TanWidya,무료 한복 사진,우리는 명동 메트로 호텔에서 5 분 걸었다. 여러 종류의 한복을 선택할 수 있습니다. 그것은 우리 자신의 카메라로 10 분 또는 15 분 동안 무료입니다. 우리는 여기에서 많은 팜플렛이나지도를 얻을 수 있습니다.,4,명동관광정보센터,명동관광정보센터,83
5,Ngoc D,큰 도움,"사랑스러운 사람들, 아이들을위한 활동뿐만 아니라 무료 전통 의상을 입어야합니다. 여행 가방 보관함도 있습니다. Discover Seoul Pass는 여기에서 구입하십시오. 우리가 서울에서 가장 잘 했어.",5,명동관광정보센터,명동관광정보센터,83
6,kenkeh,도움이되는,"나는 nami 섬 셔틀 버스 회사를 불러 예약하고 예약하는 데 도움을 준 여행 정보 숙녀에게 감사하고 싶습니다. 그녀는 영어를 능숙하게 말할 수 있고, 그녀는 나미 섬지도를 주었고 버스를 어디에서 가져갈 지 가르쳐주었습니다.",5,명동관광정보센터,명동관광정보센터,83
7,Lynns98816,무료 한복,"다른 여행자 정보 센터와 마찬가지로, MDTIC는 관광객들에게 정보를 제공하고 한복을 사용하여 사진을 찍을 수있는 사진을 무료로 제공합니다 (한복 사진 서비스는 18:30에 끝납니다). 그것은 셀프 서비스 사진 찍기이며 원하는 배경을 선택할 수 있습니다. 여기에는 무료 Wi-Fi가 있지만 불행히도 여기에는 화장실이 없습니다.",4,명동관광정보센터,명동관광정보센터,83
8,ILoveFoodComa,정말 유익한 정보,"서울에 있는 한 최대의 it, 다른 관광 정보는 다른 언어는 400. 관광객들을 무료 인터넷, 온라인 예약 및 성능을 만들지 었어요. 기념품 가게도 있다. 한국의 유명한 경우, 해당 사진을 찍을 수 있는 크기로 컷아웃 살. 전통적인 한국 인 이 이용할 경우, 빌려 입어, 할 수 있습니다! 사진을 포스트 카드 에 둘 수 있습니다. 예. 또한 무료! 가면 쇼핑, 관광 정보 센터에서 체크 아웃 이다.",4,명동관광정보센터,명동관광정보센터,83
9,Josephine S,꼭!,"몇 가지 관광 정보 센터 가 있다. 그 중의 이다. 너무 좋은 곳이기 때문에 서울에서 그냥 엄청난 양의 정보를 제공합니다 (책자). 음식 하나하나, 이벤트, 놀이 문화, 등이 있습니다. 원하는 것이 있어요. 무료로 빌려 입어 볼 수 있고 다양한 배경은 사진(10 분 정도만) 시스템을 사용하여. 이 사실은 또 다른 관광 정보 센터 및 다양한 종류의 빌딩에서 많은 것을 시도해보기로 활동. 하지만 일부 를 등록 및 지불해야 합니다. 하지만 제가 볼 수 있는 것이 좋은 곳!",4,명동관광정보센터,명동관광정보센터,83
10,Quack H,한국 전통 의상 입고 사진,"관광 정보 센터에서 한국 전통 옷을 입고 재밌는 경험이 명동, 예약 필요. 직원들은 친절하고 도움이 되었습니다. 최고예요.",4,명동관광정보센터,명동관광정보센터,83
