,u_id,title,review,u_rate,place_name,res_title,p_id
0,슈퍼댁댁,도심에서의 산행,도시에서 지하철을 타고 산에 갈수있는곳이 몇곳없는데 그중에서 좋아하는 산이 도봉산이에요~ 제일 공기가 좋은듯 싶급니다,5,도봉산,도봉산,491
1,Minamon,엄홍길 대장님이 살던 곳!,"엄홍길 대장님이 매일같이 오르 내리던 곳이었다고하네요:) 이 날 미세먼지 없이 맑은 날이어서 등산하기 참 좋았고, 도봉산의 바위들은 정말로 멋있습니다! 그리고 위에 올라가 내려다보이는 시내의 모습도 참 좋았어요.",5,도봉산,도봉산,491
2,JeKwang Y,운동하러 가기 좋은 동네 뒷산,코스도 다양하고 항상 사람이 많은 편이라서 안심하고 운동하러 갈 수 있는 동네 뒷산입니다. 가을 단풍철에는 관광지라고 볼 수도 있겠네요,5,도봉산,도봉산,491
3,형철 심,다람쥐가 많음,도토리를 먹는 다람쥐를 자주 목격할 수 있다 경사는 있지만 걷는 재미가 있음 공기가 좋고 나무가 많고 내려와서 마시는 막걸리가 기가 맥힘 등산난이도 높음,4,도봉산,도봉산,491
4,핀란드,도봉산,서울근교의 명산 도봉산 신선대 주말엔 등산객으로 붐비지만 언제나 좋은 그곳 도봉산. 이열치열이라고 무더위 피서로도 좋을것같네요^^,5,도봉산,도봉산,491
5,bjh3676,지하철역과 가까운 산. 생각보다 난이도가 있음.,지하철 1호선 7호선 도봉산역으로 가는 코스가 제일 보편적. 다만 바위산이기 때문에 만만하게 보아서는 안됨. 겨울에는 아이젠 필수. 개인적인 생각으로는 북한산 보다는 웅장하지만 정상에서 보이는 경치는 북한산보다는 못함.,5,도봉산,도봉산,491
6,jodanpapa,명산임에는 분명하지만 등산 하기에는 조심할 것이 많은...,"대개는 지하철1호선과 7호선이 지나가는 도봉산역에서 출발하지만, 서울 전역으로 향하는 노선버스의 기,종점이 등산로 입구에 있어서 버스를 이용해도 괜챦을 듯... 하지만 도봉산을 오르는 길은 의외로 다양해서 도봉산역 근처의 무수골, 의정부 회룡사역, 그리고 양주쪽의 송추에서 오르는 길 등 다양한 루트가 있다... 어디를 향하든 나름대로의 아름다움과 멋이 있지만 산세가 험하고, 돌산이다보니 낙석 등의 위험도 있으니 각별히 조심해야 한다... 가급적 숙련된 사람들과 팀을 이루어서 움직이는 것이",5,도봉산,도봉산,491
7,zzanzini,서울의 명산 도봉산,"흔히 도봉산이 어려운 산이라고 알려져있는데, 실제 지하철역에서 등산로입구가 멀지 않고 (접근성 우수) 정상인 신선대까지 서서히 가파라지는 오르막을 타고 왕복 3시간 정도면 올라갔다 올 수 있으니 초보자도 충분히 즐길 수 있는 산이라 할 수 있습니다. 정상에서 바라보는 백운대와 수락산은 그 운치를 더 합니다.",5,도봉산,도봉산,491
8,101That,옥외에서 좋은 운동,"내 경험은 일반적으로 여기에 쓰여있는 다른 리뷰의 의견과 일치합니다. 하이킹은 15 분간의 최종 스트레치가 끝날 때까지 ""온건 한""등급입니다. 거대한 암석을 뒤섞어서 ""난간""을 타고 올라가는 중간 단계입니다. . . . 쿵쾅 거리는 마음. 이미 쓰여진 것을 반복하는 것이 아니라 이전에 수집 한 정보와 방문한 도봉산의 정보를 공유하는 것이 더 유용하다고 생각합니다. 도봉산 입구의 안내소에서 첨부 한지도 (영어와 한국어)를 뽑았습니다. 경로를 따라 간판 중 일부는 한국어로 표시 될 수 있습니다.",5,도봉산,도봉산,491
9,Sarah53187,서울에서의 하이킹 경험,"우리는 서울 북간산 국립 공원을 방문 할 때 도봉산을 하이킹했습니다. 우리는 그것을 좋아했다! 최신 하이킹 장비에 하이킹을하는 지역 주민이 많이있었습니다. 하이킹은 한국에서 큰 일이기 때문에이 중 하이킹이 좋은 방법입니다. 우리는 도봉산을 선택했다. 왜냐하면 4 시간의 도보 거리가 우리에게 적당한 거리 였기 때문에 버스를 타지 않고도 우리는 흔적을 남길 수 있었다. 우리가 정상에가는 도중의 대부분을 만드는 데 우리 2 시간 15 분이 걸렸다, 그리고 우리는 돌아왔다 & 우리 산보는 합계 4",5,도봉산,도봉산,491
10,Kristof_Ge,큰 산의 멋진 전망,"정말 좋은 인상. 여기에 가서 ' 겨울 ' 시간에, 내려가는 미끄러워서 트랙 였습니다. 하지만 그 풍경은 정말 최고.",5,도봉산,도봉산,491
11,James P,"쉬운 접근성, 짧은 도보 거리, 환상적인 전망.","트레일을 시작하기 매우 쉽고, 1 호선을 타고 도봉산역까지 오신 후 다른 보행자를 따라 가십시오. 여기에서 여러 경로를 따라 가십시오. 정상까지의 등반은 724m이며 매우 쉽게 시작하지만 출격이됩니다. 매우 지 쳤고 정상 회담에 약 2 시간이 걸릴 것입니다. 전망이 환상적입니다. 1 가져와. 5 리터 +의 물과 스낵. 공원에있는 동안 아무것도 없습니다. 경치의 변화를 좋아한다면 도시에서 즐거운 하루 여행.",4,도봉산,도봉산,491
12,My_trips_around,서울에서 1시간 정도 그냥 가서 좋은 인상 (지하철을 통해),"걸어갈 수 있는 한 최대 도봉산역. 공기를 즐길 수, 숲과 산 꼭대기까지 걸어서 피곤한 준비. 소송. 계속. 어려운. 할 가치가 있지만. 물을 가지고 있으면. 예 또는 예",5,도봉산,도봉산,491
