,u_id,title,review,u_rate,place_name,res_title,p_id
0,"NASIN, 김나신",고려대 닮은 아름다운 고등학교,전국의 수많은 중앙고등학교의 본진(?) 같은 느낌이 드는 곳. 아름답고 웅장한 건물이 인상적입니다. 고려대학교 건물을 많이 닮았어요.,3,중앙고등학교,중앙고등학교 (겨울연가 촬영지),339
1,Roah_CA,중앙고,북촌 왔다가 많이들 들리시는거 같아요. 겨울연가 촬영지여서 한때 일본인들이 정말 많이 찾아왔었던 곳으로 아직도 학교로 운영중입니다.,3,중앙고등학교,중앙고등학교 (겨울연가 촬영지),339
2,りこ298180,굉장히 예쁜 사립 학교,안국 근처를 산책하다 보니 언덕 위에 예쁜 사립 학교가 있었습니다. 그 앞에는 어울리지 않는 연예인 샵이 있었는데 가게 아저씨가 겨울연가의 고등학교라고 알려 줬어요. 어머니는 겨울연가를 좋아해서 기념촬영을 부탁했어요. 지도를 받아 보니 최지우의 집도 학교를 지난 곳에 있는 것 같아요. 아시아의 다양한 나라들에서 겨울연가 팬들이 왔더군요.,3,중앙고등학교,중앙고등학교 (겨울연가 촬영지),339
3,sasurin,겨울연가의 고등학교,"북촌 산책을 하다 우연히 도착했어요. 혹시!? 라고 생각했더니 겨울연가의 무대였던 고등학교였습니다. 역시 붐이 지나간 건지 사람은 드문드문. 하지만 겨울연가 상품을 앞에서 팔고 있는 걸 보면 아직 팬이 건재한 걸까 라는 생각이 들었어요. 정문에서 올라간 곳밖에 보지 않았지만, 생각보다 멋진 고등학교라서 놀랐어요. 드라마를 본 게 상당히 예전이라 기억이 흐릿해서 이런 학교였나? 라고 생각했습니다. 북촌 지역을 산책할 때는 이야깃거리로 가보는 건 어떨까요?",4,중앙고등학교,중앙고등학교 (겨울연가 촬영지),339
4,黒ハリ,겨울연가 팬은 꼭!,북촌을 도보로 산책하다가 우연히 도착했습니다. 학교 앞을 지나갈 때 학교 앞에 있던 아주머니가 겨울연가를 알고 있냐고 물어 보셔서 처음으로 알았어요. 겨울연가는 본 적이 없지만 기념으로 사진을 찍어 주신다고 해서 촬영을 했습니다. 역시 원작을 몰라서 감동은 없었지만 기념은 되었습니다. 안에는 들어갈 수 없지만 외관은 평범한 학교입니다.,3,중앙고등학교,중앙고등학교 (겨울연가 촬영지),339
5,mama8989papa,"아아! 여기에요, 여기.","안국역에서 북쪽으로 똑바로 5~600m 간 곳에 있어요. 겨울연가 팬이라면 이 문과 문에서 올라가는 오르막길을 참을 수 없죠! 일요일이었는데 학교에도 들어갔어요. 하지만 교정은 인공잔디에 육상 트랙이 깔려 있어 드라마 촬영 후 지난 세월이 느껴졌어요. 문을 정면으로 오른쪽 오르막길을 올라가면 창덕궁, 왼쪽 방향은 북촌이니 흥미 있는 분은 들러 보세요.",3,중앙고등학교,중앙고등학교 (겨울연가 촬영지),339
6,あだおあだお,겨울연가 팬은 꼭,"북촌 산책을 하다가 버스 투어로 온 단체가 교문 앞에서 사진을 찍고 있는 것을 발견하고 우연히 찾았어요. 한류 팬인 어머니는 매우 기뻐하셨습니다. 교문 앞에서 사진은 찍을 수 있지만 교내에는 들어갈 수 없어요(평범한 고등학교다 보니). 또, 바로 근처에 유진의 집이 있지만, 최근 집주인이 개조를 해서 전혀 다른 집이 되었습니다. 어머니는 조금 안타까우신 것 같았어요.",3,중앙고등학교,중앙고등학교 (겨울연가 촬영지),339
7,Yoon Yeong C,100 년 동안 에 살이 고등학교 beutiful 북촌,"100 년 동안 에 살이 고등학교 때 beutiful 북촌. 이 길에서 멀지 않다. 제 친구와 저는 이 곳에 방문한 토요일, 실제 학생들이 있었습니다. 평화로운 곳 였습니다. 가톨릭 학교 합니다 아닙니다 이었음에도 불구하고, 여전히 학교 본관과 장식은 섬세한 아름다운 정원. 가지고 가면 북촌 입니다.",5,중앙고등학교,중앙고등학교 (겨울연가 촬영지),339
8,Happytraveller1861,흥미로운 아키텍처,흥미로운 서양 건축 의 중심에 있는 서울. 걸어서 세계 유산 창덕궁 의. 흥미로운 상점 거리를 통해 걸어갈 수 있는 언덕 위의 수 있습니다.,4,중앙고등학교,중앙고등학교 (겨울연가 촬영지),339
9,Arin Nuzullita V,좋은,정말 마음에 드는 건물이기 때문에 나는 좋은 친구들 만나고 큰 학교 있습니다. 나는 내 친구와 함께 정말 좋은 학교 주변이 식당의 음식은 너무 좋은 아이들과 좋은 위치,5,중앙고등학교,중앙고등학교 (겨울연가 촬영지),339
