review,u_id,title,u_rate,p_id
"가상으로 비행기 조정이나 밀랍인형 만들기가 전에는 됬던거 같은데 고장 중 전에는 2층도 전시장 이였나본데 3,4 층만 전시 중 관람자 입장에선 두개층 보는데 만오천원은 비쌈",당신또,보는것 만으로 끝난,3,775
을지로역 근처에 위치한 그레뱅 뮤지엄입니다. 인터넷으로 미리 예약시 할인이 가능하며 여러 유명인의 밀랍인형이 있고 중간중간 게임 체험과 일층의 쇼핑공간이 있습니다.,polonara80,밀랍인형,5,775
위인 유명인 등 밀랍인형이 정교하게 만들어져 있어서 공브도 되고 설정샷 찍기 좋아요. 외국관광객이 많습니다. 방학땐 수업도 있습니다.,GE Kim,인물 공부가 되는 곳,5,775
"비싼 티켓값하는 전시, 인스타용 사진 찍기 좋은곳. 꼭 한번은 가볼만한 곳. 사진 찍으면 정말 실묾과 함께한 것 같고, 체험 하는것들도 재밌습니다. 인물화한테 직업설게 에도 도움된다",yoon yen,리얼함,5,775
문화가 있는날 저렴하게 표를 구매해서 다녀왔습니다. 티켓에 바코드는 체험이벤트에 이용할수 있으니 티켓 보관은 필수 . 실제인듯 아닌듯 신기했네요,Yoonjung C,신기한 경험,4,775
밀랍인형 마담 투쏘만 있는줄 알았는데 명동에 이런게 있는 줄 몰랐어요! 몇개는 너무 허접했는데 이것저것 재미있는 구경거리도 많고 생각보다 많이 전시되어 있더라구요 ~ 재미있었어요,Yeonah D,갑자기 결정하고 간거 치고는 굿!,5,775
밀랍인형 뮤지엄이라하면 마담투쏘밖에 없는줄 알았는데 그레뱅이라는게 있었음! 정말 똑같이 잘만들어진 인형이 있는반면 살짝 안그런것도 있어보임. 가격도 생각보다 저렴한 편이고 커플끼리 컨셉잡고 사진찍고 놀기짱인듯 ㅋ,kpcooldawg,처음가본 밀랍인형 뮤지엄!!,5,775
실제 유명 인물들과 너무 비슷해서 놀랐어요~ 심지어 손가락 지문까지 있는거 보고 디테일함에 놀랐네요~ 중간중간 체험코스 있어서 지루하지 않게 즐길 수 있었어요:) 어른 어린이 막론하고 재미있게 놀다 갈 수 있어요~ 추천합니당😀,한솔 김,재미있고 유익했어요!!,5,775
아시아나 멤버쉽 사용해서 할인 받았어요. 가격은 좀 비싼 것 같지만 볼거리는 많은편이었어요.,missaj123,좋았어요~,4,775
사실 이러한 장소는 한국에서는 관람료가 상당히 비싼 축에 속한다. 우리가 흔히 생각하는 박물관이라는 다르게 '뮤지엄' 이라는 단어가 포함된 상태에서 가격은 생각보다 비싸기 때문. 하지만 내부의 밀랍인형들이 한 번은 볼만하고 무엇보다 로비에 있는 식당이 생각보다 꽤 맛있으니 한 번쯤은 방문하는 것을 추천함.,yeong310,절대 홍보는 아니지만 가격만 어떻게 커버가 된다면 괜찮은 곳,5,775
여려종류의 인형들도 있고 다양햔 체험할수있는 것들이 많아서 구경하기 좋아요! 밀납인형이 특히 신기했어요 ㅎㅎ,수리23,퀄리티가 정말 좋은 박물관,5,775
가족과 왔는데 재미있네요 좋아요 ㅎㅎ 아기가 재미있어하네요 시내라 찾기도 쉬워요 2호선타고 왔는데 롯데 근처라 찾기 쉬워요,승보 박,좋아요,5,775
평소 뮤지엄 관람을 좋아하고 예술작품관람을 좋아해서 들렸습니다. 좋은 전시가있으면 또 들릴예정입니다.,dkfma0657,좋아요,5,775
"한번쯤 가볼만 해요! 사진 찍을 만한 포인트가 많아서 곳곳 재밌게 관람했어요 매번 같은 전시물만 있는게 아니라 밀랍인형 전시품도 교체가 되는 듯 하구요! 우리나라 셀럽들은 간혹 닮지 않은 사람들도 많은것 같지만,,,(아무래도 작업하는 사람이 외국인이라, 동양인에 대한 이해가 부족한듯?) 특징들을 하나 둘 살펴보며 인물 맞추기 하는 재미가 있습니다. 공간 구석구석 잘 꾸며두었어요",이미사용중,이색적이고 재밌는 경험,5,775
그래도 외국인 친구와 같이 오면 굉장히 좋아하더라구요 여기서 관광을 하고 옆에 있는 카페에서 식사를 하는 것을 추천합니다.,혜지 박,많이 비슷하진 않지만,5,775
