,u_id,title,review,u_rate,place_name,res_title,p_id
0,사장님,압구정에 있는 현대백화점 본점,현대백화점 본점은 개인적으로 볼 땐 쇼핑하다보면 외국 백화점 같은 디스플레이를 많이 느끼는 곳이예요. 맛있는 디저트가 유독 많은 식품관은 빠지지 않고 들리는 곳!! 백화점에 쇼핑보다 맛있는거 먹으러 가는 곳이랍니다,4,현대백화점 ,현대백화점 압구정본점,1361
1,mimi,압구정에서쇼핑한다면!,압구정역바로앞! 특히식품관에 가끔가는데 유행하는맛있는 디져트들도 많고 간단하게밥먹기좋아요 1층엔 다양한명품매정이많아서 명품쇼핑하기도 적합합니다,5,현대백화점 ,현대백화점 압구정본점,1361
2,min,근처라서 자주 가고,근처라서 자주 가고 식당가나 지하는 사람이 정말 많아요 옷쇼핑하기에는 복잡하지 않고 좋아요 식당가나 지하 음식 맛있어요,5,현대백화점 ,현대백화점 압구정본점,1361
3,W11tavistock,이쁜 하늘정원,백화점을 구경하고 맨 윗층에 하늘정원에 올라갔어요 카페 H에서 커피를 받아 정원을 거닐수 있어서 좋았어요 쇼핑뿐만아니라 옥상 하늘정원도 꼭 가보길 추천해요,4,현대백화점 ,현대백화점 압구정본점,1361
4,형근 김,현대백화점,"이용하기 정말 편리합니다. 대중교통을 이용해도 좋고, 특히 지하철 3호선 압구정역과 연결되어 있어 편합니다. 차를 가지고 와도 주차장이 워낙 넓고 주차요원이 많이 좋습니다. 물건도 명품부터 생활필수품까지 정말 좋고, 식품, 과일들도 너무 좋습니다!",5,현대백화점 ,현대백화점 압구정본점,1361
5,Charlie5150,역시 사람 많아요,정말 올만에 방문했는데 사람 많네요..주차 하기 쉽지 않네요..압구정점 답게 외제차가 국산차보다 훨씬 많네요..직원들은 정말 친절합니다. 근데 원하는 브랜드가 없어서 걍 구경만 하고 왔습니다.,5,현대백화점 ,현대백화점 압구정본점,1361
6,J J,위치좋은 백화점,"지하철 3호선 압구정역과 연결돼있어 이용하기 편리하다. 백화점안에는 쇼핑, 먹거리 등이 있어 한곳에서 놀기 편함.",4,현대백화점 ,현대백화점 압구정본점,1361
7,시리우드,고급스럽고 분위기 있어요.,거의 모든 매장이 준명품이상으로 구성이 되어 있어 고급화전략으로 타켓을 잡은 듯 합니다. 그래도 모든 유명 브랜드들이 다 있어서 한꺼번에 쇼핑하기 아주 최적입니다. 압구정역과 연결된 위치도 아주 좋아서 이동도 아주 편리합니다.,5,현대백화점 ,현대백화점 압구정본점,1361
8,yangcho0311,푸드코트랑 지하 식당가,여러 백화점 푸드코트랑 지하 식당가를 가보았지만 여기 압구정 현대는 정말 좀 달랐다. 다른데 없는 것도 많았음,4,현대백화점 ,현대백화점 압구정본점,1361
9,유이717,항상 북적북적,맛있는 음식이 많아요~ 백화점이 크지는 않지만 식사하러 자주갑니다. 5층 식당가는 어디를 가도 맛이 좋습니다~,5,현대백화점 ,현대백화점 압구정본점,1361
10,DragonT,압구정 본점 현대백화점,컨셉은 다른 현대백화점 지점들이랑 같이 그냥 깔끔하고 쇼핑하기 좋습니다. 식당가에 꽤나 괜찮은 식당들이 있어서 쇼핑후 식사 하기에 좋습니다.,4,현대백화점 ,현대백화점 압구정본점,1361
11,DONGCHONRI,지하 푸드코트 한국의 집 돌솥비빔밥,한국의 대표적인 돌솥비빔밥 현대백화점 지하 한국의 집 돌솥비빔밥은 돌솥에서 전해져 오는 온기가 먹을때까지 식지않는다 . 한 끼 만으로도 포만감이 저녁까지 이어진다.함께 나온 콩나물국은 뜨거운 비빔밥을 완화시켜주면서 식감을 더 자극해 준다.,5,현대백화점 ,현대백화점 압구정본점,1361
