,u_id,title,review,u_rate,place_name,res_title,p_id
0,mimi,그냥 한번쯤은...,그냥 한번쯤은 나들이겸 이것저것 구경하기좋아요 . 하지만 일정이빠듯하다면 비추... 개인적으로 너무 지저분해서... 안에 사진찍기좋은 스팟들이있어서 한번쯤방문하긴좋아요,3,서울풍물시장,서울풍물시장,1360
1,상규 김,옛 향수를 느낄 수 있는 곳,40대 정도라면 옛 추억을 상기시킬 수 있는 물건이 무진장 많은 곳. 실내에 있어 엄청 더운 날에도 쾌적하게 구경할 수 있음. 사진찍을 수 있는 청춘1번가도 있음. 식당도 있는데 한끼 5000원으로 저렴함.,5,서울풍물시장,서울풍물시장,1360
2,SangChul H,서울풍물시장,옛날것들을 보며 나름대로 향수에 젖을 수 있어서 가끔 머리도 식힐겸 찾아가는 곳이다. 큰 돈 필요없이 저렴한 가격으로 이저저것들을 구경하고 살 수 있어서 기분도 좋다.또한 주변엔 다양한 먹거리들도 있어서 Good!!,4,서울풍물시장,서울풍물시장,1360
3,동석 박,추억의 물건들과 옛날 느낌의 식당,대부분의 서울의 관광지는 현대적이다. 하지만 이 곳 풍물시장과 동묘는 옛서울을 느낄 수 있게 해준다. 풍물시장은 동묘역에서 신설동역 사이쯤에 위치해있다. 그리고 복합단지 같은 건물로 재건축 되었지만 내부에 판매물품과 음식은 옛향기가 물씬난다. 중고 가구들이나 추억의 간식들과 문구들을 주로 판다. 또한 한약재들도 많이 팔고 있어 이색적이다. 음식점들 대부분이 포장마차같은 느낌이라서 옛모습이 느껴진다. 분위기있는 데이트로는 추천하지 않는다. 하지만 이색적인 데이트로는 강추!,4,서울풍물시장,서울풍물시장,1360
4,PINKSHOW01,재밌는 곳입니다,옛날 물건들 뿐 아니라 중고물품들을 같이 판매하고 있어서이거저거 구경하기 좋습니다. 또 1층 먹거리 장터에서 국수 등 간단한음식도 팔아서 가볍게 한끼 정도 사드시는것 추천합니다. 풍물시장 근처에 골목골목 얀티크샵도 많으니 천천히 둘러보세요,4,서울풍물시장,서울풍물시장,1360
5,mjreise,시간 있을때 간단히 돌아보는 곳,풍물장을 보기위해 따로 방문 할 정도는 아니고 그 주변에 약속이 있다면 잠깐 들려서 구경하면 좋을듯.. 가까운데에 창계천도 있어서 산책하기도 좋음,3,서울풍물시장,서울풍물시장,1360
6,rumi195633,한국인의 개성을 잘 알 수 있다.,"활기 넘치는 벼룩시장에서는 한국인의 개성을 잘 알 수 있는, 주변을 신경 쓰지 않고, 큰 목소리로 관광객들에게 말을 걸어오는 상인이나 상품을 선전하는 상인들을 쳐다보고 있으면, 그들이 매일 어떻게 생활하는지가 보인다. 그들의 매일 힘든 환경 속에서 그렇게 살아 남았다.",4,서울풍물시장,서울풍물시장,1360
7,せんむ,매니악한 명소,"젊은 여자가 일부러 갈만한 곳은 아닙니다. 단지, 서울을 좀 더 느낄 수 있는 곳이기 때문에 마니아에게는 추천하는 장소입니다. 여기에서는 여러 가지 골동품이 팔리고 있습니다. 레코드도 1000원 정도부터 살 수 있습니다.",3,서울풍물시장,서울풍물시장,1360
8,しぇるてぃー,재밌는 장소,"동랑 숙박이었기 때문에, 살짝 걸어서 갔다 왔습니다. 이전에는 동대문에 있었다고 합니다만, 한 곳에 중고가게가 모여있어서 보기 편했습니다. 골동품부터 헌 옷, 가전제품 등 여러 가지 물건이 놓여있기 때문에 전혀 지루하지 않습니다. 일요일이었기 때문에 동랑에서 가는 도중 벼룩시장도 나와 있어 한나절 매우 재밌었습니다. 헌 옷 등은 잘 찾아보면 꽤 괜찮은 물건도 있기 때문에 추천합니다.",4,서울풍물시장,서울풍물시장,1360
9,相模原Make,수상한 시장,"옛날에는 '광학문 벼룩시장'이라고 불렸던 시장이 시대와 함께 변화해 근대적인 현대 시장으로 됐다고 합니다. 장소는 지하철 1호선 신설동역에서 도보 10분 정도 거리에 있습니다. 벼룩시장이 근대적으로 되었다고는 하지만, 팔고 있는 물건은 옛날과 변함없이 알 수 없는 물건이 잔뜩 있습니다. 소위 골동품 시장입니다. 특히, 골동품인지 아닌지 모호한 물건이 많아, 커다란 재활용품 가게 같은 느낌입니다. 저는, 골동품을 모으는 것이 취미이기 때문에, 자주 이 골동품 시장을 배회합니다. 가끔 좋은 물건이",3,서울풍물시장,서울풍물시장,1360
10,ikatarou,한국의 생활문화를 한눈에 알 수 있다.,"왜 이런 물건까지? 하고 생각할 정도, 벼룩시장에서는 뭐든 팔고 있습니다. 여기에 오면 한국의 생활문화를 한눈에 알 수 있게, 식기부터 가전제품, 냉장고, 문구나 가구, 골동품 등 자동차 이외에 모든 것이 모여있습니다. 특히 주말은 큰 길바닥 상인이 모여, 혼잡하다고 합니다. 작은 물건의 가격은 1000원(약80엔)부터 비싼 건 5000원(약 400엔)으로 제가 산 쇼와시대초기(약 100년전)의 골동품도 1000원(80엔) 한국 물건인지 중국 물건인지 일본 물건인지 잘 모르겠지만 왠지 꿈이 있어",4,서울풍물시장,서울풍물시장,1360
