,u_id,title,review,u_rate,place_name,res_title,p_id
0,민정 김,석촌고분,역사유적지로도 의미가 있지만 주민들의 쉼터와 같은 곳입니다. 밤에 주변을 지나갈때 좀 으스스한 분위기가 있지만 산책하기 좋은 장소입니다.,4,서울 석촌동 고분군,서울 석촌동 고분군,113
1,missgoooo,작지만 조용히 거닐기에 충분한곳,역사적인 공간에서 쉴수 있고 도시에서 벗어난 느낌도 주고그래요 최근에 계단공사도 마쳐서 보기에 괜찮을거에요 산책 코스로 적당합니다,4,서울 석촌동 고분군,서울 석촌동 고분군,113
2,JUSEONG Y,백제의 발자취를 찾아서,"석촌동 고분, 도로 옆을 지나가다 뭔가 문화재 같은 것이 있길래 뭔가 했더니.ㅋㅋ 이게 그 석촌동 고분군 이더라고요 학교에서 백제의 수도로 알려진 석촌 그쪽 아닌가요? 말뚝같은 것으로 되어 있어서 관리가 약간 허술한 느낌도 들긴하지만, 약간 공원 느낌도 나고 합니다. 그래도 아파트만 있는 무미건조한것보다는 이런 자연이라도 있으면 좋을듯 싶네요~",3,서울 석촌동 고분군,서울 석촌동 고분군,113
3,메가마일,주민 쉼터가 된 유적지,백제고분은 역사유적지로도 그 가치가 대단하지만 동네주민들의 운동장소와 휴식장소의 역할을 합니다.,5,서울 석촌동 고분군,서울 석촌동 고분군,113
4,naynm41,유적지겸 산책,밤에 운동삼아 산책하기에 좋은 곳입니다. 나무도 많아 가면 공기도 나쁘지 않고 강아지 데리고 산책하기에도 좋은 곳입니다.,4,서울 석촌동 고분군,서울 석촌동 고분군,113
5,Yochi,산책하기 좋은 공원,저녁에도 밝아서 산책하기 좋고 동네사람들이 산책이나 운동을 하고 있어요 주변에 조용한 주택가가있어서 위험하지는 않을듯!역사적으로도 공부할게 많고 여러모로 계속 이지리에 있어 주었으면 하는 곳입니당,4,서울 석촌동 고분군,서울 석촌동 고분군,113
6,momoonb21,유적지 겸 동네 공원,인근 지역에 거주중입니다 늘상 이용하고 있는데 저녁에 선선하고 사람이 너무 많지도 없지도 않아서 운동하기 좋아요 곳곳에 벤치가 있어서 앉아서 대화 나누기도 좋구요^^ 관리가 잘 되어있는 곳입니다^^ 그리고 애완동물과 함께 산책도 가능해요^^,5,서울 석촌동 고분군,서울 석촌동 고분군,113
7,트립마니아,역사유적 겸 공원,백제의 왕릉을 복원한 장소 주변에는 걸어다니기 좋게 되어있고 주변에 석촌호수가 있지만 걸어서 이동해야하며 연결되어 있지는 않음,3,서울 석촌동 고분군,서울 석촌동 고분군,113
8,Handol,조용하고 걷기 좋은 공원,유적지를 기대하고 오면 조금은 심심한 석촌동 고분군. 공원으로 개방되어 밤엔 조용히 산책을 하거나 강아지와 산책을 하는 사람을 많이 볼 수 있었다.,5,서울 석촌동 고분군,서울 석촌동 고분군,113
9,채예지,산책하기 좋은 곳,"8호선 석촌역에 내려서 석촌지하차도쪽으로 조금만 걸어가면 석촌동 고분군이 보인다. 곳곳에 고분군이 있고, 벤치랑 나무도 많아서 산책하기에 참 좋은 장소다. 동네 주민들이나 어린이집에서 단체로도 많이 찾는 곳이다. 고분군 주변에는 스타벅스 버거킹 kfc 등 먹을거리도 많아서 편리하다.",4,서울 석촌동 고분군,서울 석촌동 고분군,113
10,Catherine M,도시의 평온,사랑스러운 parc. 오후 산책이나 하루 외출에 적합합니다. 그것은 역사적인 무덤과 역사로 가득 차 있습니다.,4,서울 석촌동 고분군,서울 석촌동 고분군,113
11,DauphinJonas,롯데 타워 천문대 영상,앞으로 서울에서이 공원을 방문하기를 기대합니다. 석촌동의 고대 무덤 서울 스카이에서 찍은 사진을 공유하고 싶습니다.,3,서울 석촌동 고분군,서울 석촌동 고분군,113
12,Sam,즐길 수 있는 곳,매우 조용하고 평화로운 곳. 입장료는 무료. 많지 참조하십시오. 석촌 역 7번 출구에서 도보 거리,4,서울 석촌동 고분군,서울 석촌동 고분군,113
13,jminkeek,멋진 곳,나는 운이 좋게도 비가 왔습니다 (7 월 중순). 역사를 엿볼 수 있는 너무 많은 것을 얻을 수 있는 모든 기록이 나라. 시간이 있다면 추천합니다!,5,서울 석촌동 고분군,서울 석촌동 고분군,113
