u_id,review,u_rate,p_id,review_en
bluejay3786,올림픽 공원이 낮은 구릉으로 이뤄진 곳이라면 서울숲은 평지로 이뤄져 있어 좀 더 편하게 걸을 수 있습니다. 특히 최근들어 성수동이 인기 지역으로 급부상하고 있어 서울숲의 가치는 더욱 올라갈 것 같습니다. 큰 도로가 공원 한 가운데를 지나서 그다지 조용한 곳은 아니지만 여가를 즐기기엔 괜찮습니다.,4,412,"If the Olympic Park consists of low hills, the Seoul Forest is composed of flat land, so you can walk more comfortably. In particular, the value of Seoul Forest is likely to rise further as Seongsu-dong is rapidly emerging as a popular area recently. The main road passes through the middle of the park and is not a quiet place, but it is good for leisure."
재웅 유,도심속에 작은 숲이 있는 듯한 느낌!! 성수동에 간다면 한번쯤은 가볼만 한것 같다. 근처의 힙한 카페도 많으니 꼭 들려보세요. 특히 커플들이 데이트하기 딱 좋은 장소라 생각합니다. 맛집도 정말 많음,4,412,"Feels like there's a small forest in the city center! If I go to Seongsu-dong, I think it is worth visiting at least once. There are many hip cafes nearby, so make sure to visit them. Especially, I think it's a perfect place for couples to date. There are so many good restaurants."
Sung Chan L,"규모가 꽤 넓습니다. 다양한 테마로 꾸며놓은 내부도 많고 사슴농장까지 있어 먹이주기도 가능하고, 여름에 가도 숲속에서 시원하게 지낼수 있네요 아직 잘 알려지지않은것인지 주차장도 여유롭고,다시한번 더 가보고 싶은곳이었어요.",5,412,"It's quite large. There are many different themes inside, including deer farms, so you can feed them, and even stay cool in the woods in the summer. The parking lot was also very comfortable and I wanted to go there again, maybe it's not well known yet."
407yjj,서울숲 몇번 가보면 이 근처로 이사오고 싶을만큼 좋더라구요. 생각보다 큰 규모의 숲이고 안쪽으로 걸어 들어가시면 사슴을 볼 수 있는 곳도 있어요,5,412,"If I go to Seoul Forest a few times, it's so nice that I want to move around here. It's a bigger forest than you think, and if you walk inside, there's a place where you can see deer."
sanrio2018,사슴먹이주기도 할수있고 잔디밭도 넓어서 아이들 공차기도 실컷하구요. 갤러리아 포레쪽에서 먹을데도 있어서 가족나들이로 최고예요,5,412,"I can feed deer and have a big lawn, so I can kick a lot of kids. There's a place to eat in Galleria Foret, so it's the best family outing."
ahirity,"뚝섬과 서울숲역에서 가까운 공원으로 가족단위, 커플, 반려견 산책 목적으로 방문하기 좋은 공원입니다. 공원의 규모가 꽤 큰 편이며 인근에 작은 미술관도 하나 있습니다.",4,412,"It is a park near Ttukseom and Seoul Forest Station and is a good place to visit for family, couples, and dog walking. The park is quite large and there is also a small art museum nearby."
daheey2017,한강 공원에 비해서 면적이 좁고 간단한 놀이기구들이 있어서 가족 단위로 많이 놀러오는 곳. 산책로가 잘 되어 있어서 산책을 하거나 자전거를 타기에도 좋고 꽃사슴도 볼 수 있어요!!,3,412,"Compared to Hangang Park, there are many simple rides that are smaller in area, so many families visit this place. The trail is well-organized, so it's good for taking a walk or riding a bike, and you can see the deer!!"
Yooni,자전거 타기에 좋은 곳이다 서울 따르릉 자전거 대여 시스템을 이용해서 공원 한바퀴를 돌았다 사람들도 많았다 . 휴일이라 그런지. 한강이랑 이어져 있어서 한강으로 자전거 도로를 이용해서 자전거를 탔다 ~ 째즈페스타도 하고 가끔식 공연도 하고 컨테이너 박스로 된 쇼핑몰도 이색적이다,4,412,"There were many people who went around the park using Seoul Ring Bike Rental System. Maybe because it's a holiday. It's connected to the Han River, so I rode a bike to the Han River using a bike path. There are jazz Festa and occasional performances, and shopping malls with container boxes are also unique."
greenoniongrilling,"공원이 널찍하긴 한데 사람도 많다. 특히 자전거, 킥보드, 대여까지 해서 몰고 들어오는 사발이 등 각종 탈것들이 버젓이 나다니면서 보행이 그다지 쾌적하지는 않다.",3,412,"The park is spacious, but there are many people. In particular, various rides such as bicycles, kickboards, and even rental bowls are not very pleasant to walk around."
narae oh,"미세먼지가 많은 요즘 , 이 숲이라도 있어서 얼마나 다행인지 모릅니다. 이 때 만이라도 상쾌한 공기를 만끽할 수 있어 감사합니다",5,412,"These days, when there is a lot of fine dust, I don't know how fortunate it is to have this forest. Thank you so much for enjoying the fresh air."
Jee Hyun Kim,다른 걸 다 떠나서 주차헬... 지옥의 주차장. 인근에 밥 먹을 곳도 뭐 마땅치 않고 (광고하는 곳들만 가득 ㅠㅠ) 일단 주차 대기하는데 2시간쯤 걸림 무조건 대중교통으로 가야 하지만 아기를 데리고 다니는 젊은 부부에게는 현실성이 없음! 뉴욕 센트럴파크처럼 진정한 도심공원은 아님 ㅠㅠ,3,412,"I'll leave everything else behind. Park Hell... Hell parking lot. There's no place to eat nearby. It takes about two hours to wait for a car to park, but it's not realistic for a young couple who carry their babies! It's not a true city park like New York Central Park."
