u_id,review,u_rate,p_id,review_en
czdy,"뮤지컬공연 보기에 아주 괜찮은 공연장 중 하나에요. 레베카, 팬텀, 웃는남자 등 인기있는 뮤지컬도 많이 보고 교통도 편리해요",4,976,"It's one of the great venues for musical performances. I watch a lot of popular musicals such as Rebecca, Phantom, and Smiling Man, and the transportation is convenient."
juou,이태원과도 가깝고 한강진역하고도 연결되어 있어서 위치도 좋아요. 공연볼 때 주차하기도 생각보다 수월합니다. 재밌는 뮤지컬을 늘 해서 좋아요,4,976,"It's close to Itaewon and connected to Hangangjin Station, so the location is good. Parking is easier than I thought. I'm glad I'm always doing a fun musical."
여행자,부모님 뮤지컬 보여드리기 위해서 방문햇엇는데 건물이 깨끗하고 좋았어요. 뮤지컬도 재밋게 조고 주변에서 식사하기도 위치가 좋앗습니다,5,976,"I visited to show my parents musical but the building was clean and nice. The musical was fun, and the location of the meal was good."
진희 손,기대안했는데 식당 음식이 꽤 맘에 들었어요. 특히 3층 커피숍은 서점과 같이 있어서 책읽기 좋았어요 분위기 좋아서 자주 가보고싶네요,4,976,"I didn't expect it, but I liked the restaurant's food pretty much. Especially, the coffee shop on the third floor was good to read because it was with the bookstore. The atmosphere is so nice that I want to go there often."
deuxhan,블루스퀘어 이태원 한남동 나들이에 들리면 좋아요 전 뮤지컬 보러 다녀왔는데 무대도 괜찮고 북카페가 괜찮네요 꼭 공연이 아니여도 들려보면 좋을 듯,5,976,"Blue Square Itaewon Hannam-dong Outing is great. I've been to the musical. The stage is good. The book cafe is good. Even if it's not a performance, it would be nice to hear it."
zesto0722,"교통 편리하고, 내부 깔끔합니다. 대신 수용인원에 비해 대기시간에 할 수 있는 일이 별로 없어서 좀 아쉬웠습니다. 다양한 즐길거리를 만드는 것도 좋을 것 같습니다.",4,976,"It's convenient for transportation and clean inside. Instead, I was a little disappointed that there was not much I could do in the waiting time compared to the number of people in the camp. I think it would be good to make various things to enjoy."
비온디산디,도서관을 찾아 방문했는데 생각보다 규모가 크고 역세권에 위치해 찾아가기 쉬웠습니다. 뮤지컬로 유명하다는데 아직 한번도 뮤지컬 관람차 방문은 못해봤네요..,5,976,"I visited the library and it was easier to find because it was bigger than I thought and located in the station area. I heard it's famous for its musical, but I haven't been to the musical Ferris wheel yet."
902,"작년에도 가고 올해도 뮤지컬 관람하러 갔는데, 시설은 아주 좋구요, 다만 안에서 파는 식음료들이 너무 비싸서 ㅠ 물 같은 건 역 편의점 같은데서 사오는 걸 추천해요 ㅎㅎ 공연 전까지 시간 보낼 수 있는 북카페가 아주 잘 만들어져있습니다 ㅎ",4,976,"I went there last year and went to watch a musical this year, but the facilities are very good, but the food and beverages sold inside are so expensive, so I recommend you to buy water from a convenience store in the station. The book cafe where you can spend time before the show is well made. Hah!"
alaco3,"위치, 시설 모두 만족스럽습니다. 뮤지컬 시스터 액트를 편하게 즐길 수 있었습니다. 내부에도 식당이 있기는 하지만, 주변 상권과는 거리가 있어 5분 정도 걸어야 합니다.",4,976,"The location and the facilities are all satisfactory. I could enjoy the musical ""Sister Act"" comfortably. There is a restaurant inside, but it is far from the surrounding business area, so it takes about 5 minutes to walk."
시리우드,뮤지컬을 아주 좋아해서 일년에 두세번은 블루스퀘어를 찾게 됩니다. 이태원에서 식사를 하고 걸어가면 약 10여분 정도 걸립니다. 블루스퀘어 주변에는 마땅히 식사나 음료를 마실 공간이 충분하지는 않습니다.,4,976,I love musicals so much that I visit Blue Square two or three times a year. It takes about 10 minutes to walk from Itaewon after eating. There isn't enough room around Blue Square to eat or drink.
