u_id,review,u_rate,p_id,review_en
Qjr,필요한 자재들 부재료들을 한번에 찾을 수 있는 방산시장 교통편이 좋지않고 주차가 힘들지만 원하는 물건을 사기에는 적합한 곳이다,3,1482,"The transportation in the defense market where you can find all the necessary materials at once is not good and parking is difficult, but it is a good place to buy what you want."
W11tavistock,"을지로에 있는 서울의 대표적인 부자재 시장이예요. 종이로 된 패키지들을 구매하러 방문했어요. 봉투,상자 등 포장에 필요한 모든것들을 찾을수있어요.",4,1482,"It is a representative subsidiary material market in Seoul in Euljiro. I visited to buy paper packages. You can find envelopes, boxes, everything you need for packaging."
PINKSHOW01,회사에서 포장에 필요한 박스를 찾기위해 갔는데 정말 어마어마한 다양한 제품이 있어서 놀랐음. 고급 포장자재뿐 아니라 일반 비닐봉투까지 다 있어서 물건을 찾기 편했음.,4,1482,"I went to the company to find a box for packing, and I was surprised that there were so many different products. It was easy to find not only high-end packaging materials but also regular plastic bags."
Daon C,내 생각보다 상인들이 친절하다. 근데 차가 너무많아서 통행이 불편하다. 대중교통을 이용하는게 좋겠다.,4,1482,Merchants are nicer than I thought. But traffic is inconvenient because there are too many cars. You'd better use public transportation.
별 권,"예쁜 소품도 많고 없는게 없는 시장. 재료랑 기구, 포장까지 다 구할 수 있다 도매가가 저렴하고 동대문이나 명동과도 가까워서 둘러보고 맛있는 거 먹기 좋음",5,1482,"A market with many pretty props and everything. You can get all the ingredients, equipment, and packaging. The wholesale price is cheap, and it is close to Dongdaemun or Myeongdong, so it is good to look around and eat delicious food."
lordauch,"이곳은 제과 제빵이나 포장에 관한 것들이 많은 시장입니다. 일상적인 쇼핑을 하기에는 힘들지만 구경할만 하긴 합니다. 근처에 광장시장과 동대문도 가깝고, 을지로 충무로 도 가까운곳이라 근처라면 들려볼만 합니다. 최근에 을지로 부근에 여러 가게가 생기고 있어서 산책하며 둘러보는걸 권합니다.",3,1482,"This is a market with a lot of things about baking and packing. It's hard to do everyday shopping, but it's worth seeing. Nearby, Gwangjang Market and Dongdaemun are also close to Euljiro Chungmuro, so it's worth visiting. Recently, there are many shops near Eulji-ro, so I recommend you take a walk and look around."
hs501020,베이킹재료 전문 상가거리여서 자주 다닙니다. 캔들제품이나 디퓨저전문 상점도 생기기 시작해서 쇼핑 시작하면 하루가 금방입니다. 다양한 제품들도 넘치는 곳이어서 정말 재밌고 좋습니다.,5,1482,"It's a shopping street specializing in baking materials, so I often go there. Candle products and diffuser shops are also starting to open, so a day goes by quickly when you start shopping. It's really fun and good because it's full of various products."
M5610BJdavidl,제과제빵 재료상골목이 자그맣게있습니다. 원하는 재료부터 포장용기 몰드 조리도구까지 매우 다양합니다. 골목 골목마다 파는 도매품들이 너무 다양해서 정확히 어디에 무엇이 있는지 확실하게 말하기 힘듭니다. 구제옷을 파는 상가도 따로 있습니다. 시장 골목으로 들어가면 육회와 빈대떡 비빔밥 떡볶이 순대 마약김밥 여러가지밑반찬들 등 흔히 시장에서 볼 수 있는 것들부터 방산시장 특유의 먹거리까지 매우 다양합니다. 가격도 매우 저렴해서 여러가지음식을 맛보아도 가격폭탄을 맞는일은 없을 것입니다. 저는 개인적으로,4,1482,"There is a small bakery ingredient alley. From the ingredients you want to the mold cooking tools of the container, there are many different kinds. Wholesale goods sold in every alley are so diverse that it's hard to tell exactly where and what is. There is also a separate store that sells foot-and-mouth disease clothing. If you enter the market alley, you will find a wide variety of side dishes, ranging from yukhoe, mung bean pancake bibimbap, tteokbokki, sundae, drug gimbap, and other side dishes to the unique foods of the Bangsan market. The price is very cheap, so even if you taste various foods, you won't get hit by a price bomb. Personally, I'd like to talk to you know,"
뇽,"양초 만들기, 디퓨저 만들기 재료를 저렴하게 구입할 수 있는 곳이다. 양초와 디퓨저에 첨가하는 향도 굉장히 다양해서 선택의 폭이 넓다. 데코레이션 할 수 있는 소소한 아이템들도 많아 쇼핑하는 동안 보는 눈도 즐겁다. 제빵용품 및 커피컵 등 또한 저렴하게 구입할 수 있다. 특히 발렌타인데이, 빼빼로데이 등에 수제 초코릿과 빼빼로를 만들 수 있는 재료가 모두 모여 있다. 꼭 쇼핑의 목적이 아니더라도 한번쯤 방문해보면 새로운 경험을 할 수 있다.",5,1482,"It is a place where you can buy materials that make candles and diffusers at low prices. There are many different scents added to candles and diffusers, so there is a wide range of choices. There are also a lot of small items to decorate, so the eyes you see while shopping are enjoyable. Baking supplies and coffee cups are also available at an affordable price. Especially on Valentine's Day and Pepero Day, ingredients for handmade chocolate and pepero are all gathered. Even if it's not for shopping, you can have a new experience once you visit."
say895,"집에서 직접 만드는 베이킹, 캔들이 취미라서 방산시장에 자주 가요. 가격도 저렴하고 다양한 원재료를 살 수 있어서 좋더라구요~ 가까이에 광장시장이 있어서 배고플 땐 그곳에 가서 마약김밥을 먹곤해요 ㅎㅎ",4,1482,"My hobby is baking and candles that I make at home, so I often go to the defense market. It's cheap and it's good to buy various raw materials. There's Gwangjang Market nearby. When I'm hungry, I go there and eat drug gimbap. Haha"
