u_id,review,u_rate,p_id,review_en
HelloJany,"역사적인 장소. 그러나 독립문만 보기엔 다소 주변에 볼것이 없으며, 서대문형무소와 함께 볼것을 추천. 주차장이 있으나 협소하고 산책하기는 충분히 좋은 곳",5,217,"a historic site However, there is nothing to see around just the Independence Gate, and I recommend you to watch it with Seodaemun Prison. a small parking lot, but good enough for a walk."
"NASIN, 김나신","사실 크기 자체는 거대하거나 그렇진 않습니다. 그렇지만 중국으로부터의 사대에서 벗아난다는 의미, 그리고 바로 옆에 일제강점기 많은 독립운동가들이 고문당했던 서대문형무소가 있어 함께 역사적 의미를 찾으며 둘러보기 좋습니다.",4,217,"In fact, the size itself is not huge or anything. However, it is good to look around and find historical significance as it means to get out of China and the Seodaemun Prison, where many independence activists were tortured, right next to it."
선우 남,"독립문이라는 구조물에 대해서는 익히 들어봤지만, 저 자리에 있는줄은 몰랐습니다. 하지만 여길 방문한 뒤에 독립문이 독립을 기념하기 위한것이 아니라 '기원'하기 위한 것이었다는것도 알게 되었고. 글씨 읽는 방식이 변화되기 전에 지어졌다는 것도 알수 있어서 재미있었습니다.",4,217,"I've heard about the structure called Independence Gate, but I didn't know it was there. But after I visited here, I realized that the Independence Gate was not meant to celebrate independence, but to 'wish' it. It was fun to know that it was built before the way I read."
Martin Jeong,역사적 의미를 제외한다면 문 자체로는 그다지 감흥이 없습니다. 주변에 관광지도 없으니 독립문 하나만을 보려고 방문하기는 시간이 아깝습니다.,3,217,"Except for historical meaning, the door itself is not very impressive. There are no tourist attractions around, so it's a waste of time to visit only one Independence Gate."
봉기 문,서대문에서 쉽게 찾아갈 수 있는 소공원입니다. 개화기 혼란 속애서 나라를 지키려했던 선현들의 숭고한 노력을 다시 한번 새겨봅니다.,4,217,It's a small park that you can easily find at Seodaemun. Let me remind you of the noble efforts of Seon-hyeon who tried to protect the country in the midst of the chaos of the enlightenment period.
juzzang01,언니네 집 근처라... 살짝 산책하면서 역사탐방 하고 왔습니다. 서대문형무소까지... 광복절 전날 광복축제 무슨 행사도 해서 독립문 공원부터 서대문형무소까지 살펴볼 수 있는 기회였습니다. 역사탐방으로 추천하며 의미있는 시간 가지시길 바랍니다.,4,217,"It's near my sister's house. I took a walk and went on a history tour. To Seodaemun Prison. On the eve of Liberation Day, we had a chance to visit Independence Hall of Korea from Independence Gate Park to Seodaemun Prison. I recommend you to explore history and hope you have a meaningful time."
딱풀,독립공원은 역사적으로도 많은 의미가 있는곳이죠. 독립운동하신분들이 투옥되어 고문과 희생을 당한 곳입니다. 조용하고 넓은 공원입니다. 아이들과 사적지 탐방도하고 애국심도 길러보세요. 1~2천원정도의 입장료가 있고요. 8월15일엔 무료 개방도 합니다. 꼭 한번쯤은 아이들과 가보길 추천합니다. 공원안에 도서관도 있어 책읽고 쉬어가도 좋을듯 합니다. 애국심이 자라는 느낌! 느껴보세요!,5,217,"Independence Park has a lot of historical significance. This is where independence fighters were imprisoned and tortured and sacrificed. It's a quiet and spacious park. Visit historic sites with your children and develop patriotism. There's an admission fee of about 1,000 won. It will be open for free on August 15th. I recommend you to go with your children at least once. There is also a library in the park, so you can read books and take a rest. Feels like patriotism grows! Feel it!"
vlogg,서울 독립문은 조선 후기의 건축물로 1897년에 완공되었다. 독립협회가 중심이 되어 조선이 청나라의 책봉 체제에서 독립한 것을 상징하기 위하여 영은문을 무너뜨리고 그 터에 지은 문입니다. 역사적인 의미기 깊은 곳이며 야경이 또 굉장히 멋있어서 출사지로도 유명하다도 합니다. 야경은 낮의 독립문과는 또다른 운치가 있어요. 서대문구의 랜드마크입니다. 형무소와 같이 둘러보세요.,5,217,The Independence Gate in Seoul was completed in 1897 as a building in the late Joseon Dynasty. This gate was built on the site after the Yeongeunmun Gate was demolished to symbolize Joseon's independence from the Qing Dynasty's bookshop system. It is a historic place and it is famous for its beautiful night view. The night view is different from the day's Independence Gate. It is a landmark of Seodaemun-gu. Take a look around with the prison.
은곰이,중국으로부터의 독립을 기념한 문이라는 걸 이번에 처음 알았어요! 서대문 형무소도 함께 다녀왔어요,5,217,This is the first time I found out that it was a door to celebrate independence from China! I went to Seodaemun Prison with him.
가제트날다,예전에 영은문 자리에 독립문을 옮겨 놓은 장소 또한 독립기념관 (입장료 3000원)과 가족들이 산책하기에 좋은 공원이 있습니다. 저녁에는 주민들이 공원을 도는 운동을 하는데 도심에서 편안한 안식처로 추천합니다.,4,217,"In the past, the Independence Gate was moved to the site of Yeongeunmun Gate, and there is also an Independence Hall (admission fee of 3,000 won) and a good park for families to take a walk. In the evening, residents exercise around the park, and I recommend it as a comfortable haven in the city."
Traveling Foodie,물론 역사적으로는 상징적인 건물이기는 하나 주요 관광지와도 조금은 떨어져있고 그 주변에도 딱히 볼만한게 없습니다. 독립문을 들르신 후에는 주변에 재래시장인 영천시장이 있으니 한번 둘러보는것도 괜찮을듯 합니다. 독립문 바로 가까이 줄서서 먹는 꽈배기집이 있으므로 그곳도 들려보세요.,3,217,"Of course, it's a symbolic building in history, but it's a little far from the main tourist attraction and there's nothing to see around it. After visiting the Independence Gate, there is Yeongcheon Market, a traditional market nearby, so it would be nice to look around. There's a ggwabaegi restaurant near Independence Gate, so try it there too."
자인,"독립문은 조선의 근대화와 청국으로부터의 독립이라는 뜻을 담아, 1896년 독립협회가 청나라 사신을 영접하던 영은문 자리에 전국민 모금운동을 하여 파리 개선문을 본뜬 모습으로 세운 것이라 합니다. 서대문 독립공원과 근처 서대문형무소 역사관을 함께 둘러본다면 뜻 깊은 시간이 되리라 생각합니다.",4,217,"In 1896, the Independence Gate was built in the form of the Arc de Triomphe in Paris, modeled after the Arc de Triomphe in 1896 when the Association of Independence welcomed envoys of the Qing Dynasty. I think it would be a meaningful time to look around Seodaemun Independence Park and the nearby Seodaemun Prison History Hall together."
