u_id,u_rate,p_id,review,review_en
Paul.S.H.Ch,4,1460,먹을거 많다. 가격도 저렴하고 먹을 거리도 많다. 잘 정리된 시장이어서 지저분한 예전 시장의 모습이 딱히 보이지 않는다. 머리위에 간판도 잘 정돈되어있음. 게다가 제로페이 사용하기도 쉽다.,"There's a lot to eat. It's cheap and there's a lot to eat. It's a well-organized market, so I can't really see the messy old market. Signs on the head are also well arranged. Moreover, it is easy to use Zero Pay."
Alpertbyun,3,1460,"망원시장 시장은 크지는 않지만 구경하는 재미가 있고 골목곳곳에 빵집,카페들이 있어서 종종 찾아갑니다. 망원역에서 별로 멀지않고 좋아요.","Mangwon market is not big, but it is fun to see and I often visit there because there are bakeries and cafes in the alley. It's not too far from Mangwon Station."
사장님,3,1460,망원시장 떡볶이 김밥 처음 가본 망원시장은 그리 크지 않았어요 떡볶이가 너무 먹고 싶어 갔기에 지나는 길에 보이는 떡볶이집으로 입장 테이블은 아주 작았구요 오징어튀김김밥? 독특한 김밥과 떡볶이 주문 떡볶이는 쌀 떡볶이고 제가 아주 좋아하는 매콤달달한 맛이라서 맛있게 먹었어용,"Mangwon Market Tteokbokki Gimbap. Mangwon Market was not that big. I really wanted to eat tteokbokki, so I went to the tteokbokki place you can see on the street. The entrance table was very small. Fried squid and fried rice? The unique gimbap and tteokbokki order tteokbokki is rice tteokbokki and it was very spicy and sweet, so I enjoyed it."
Traveling Foodie,5,1460,"저렴한 야채! 망원시장은 이제 더이상 망원동 지역주민만의 시장은 아니지만 역시 가장 큰 장점은 저렴한 식재료들입니다. 야채, 과일이 정말 저렴해요 홍두깨같은 유명한 칼국수집도 있지만..사실 요즘 맛이 오락가락 하기 때문에 굳이 찾아오실 정도의 메리트는 없구요. 홍두깨 맞은편 엄마손 반찬 인기 많습니다","Cheap Vegetables! The Mangwon Market is no longer just a market for Mangwon-dong residents, but the biggest advantage of all is cheap ingredients. Vegetables and fruits are really cheap. There are famous kalguksu restaurants like Hongduke.In fact, the taste has been fluctuating these days, so there's no merit for you to come. Mom's hand side dishes across from Hongduke are very popular."
mumu0505,4,1460,"다양한 먹거리 , 꼭 장보러 가는 건 아닌 시장 ! 상인분들이 친절 하시고 , 생각보다 규모도 있는 편이고 좋아요 . 시장도 보고 주변도 돌아 보고 좋았어요 . 다만 차를 갖고 갈 경우 주변에 공영 주차장이 있으나 좁은 편이라 주차가 주말 경우에는 다소 부족해요 . ~","A variety of food, not necessarily a market for shopping! The merchants are kind, and the scale is bigger than I thought. It was good to see the market and look around. However, if you take a car with you, there is a public parking lot nearby, but the parking is not enough on weekends because it is not enough. ~"
J J,3,1460,다양한 먹거리 칼국수 떡볶이 삼합까지 각종 먹거리들을 몇천원의 가격으로 만날 수 있는 곳. 주말에는 사람들이 몰려서 많이 혼잡할 수 있다.,"You can enjoy various foods including kalguksu, tteokbokki, and samhap at a price of several thousand won. It can be crowded a lot on weekends."
언주 박,4,1460,"시장음식 먹고 플때 가는 곳이에요~ 가성비 최고 망원시장 이미 방송을 타서 그런지 많은 사람들이 가는 명소가 되어서 그런지 주말에 가면 주차하기 어렵고 사람에 쓸려다녀 정신이 없긴해요 전 평일 오전이나 오후에 가요. 확실히 덜 붐벼요~ 망원시장 떡뽁이 고로케, 홍어무침, 돈까스 등등 맛난게 많은데 전 빨간어묵?집 떡뽁이가 단연 최고인듯... 매운거 좋아하시는분들 추천드려요 어묵이랑 튀김도 맛나요~","It's a place where I go to sleep after eating market food. The Best Cost-Effective Telescope Market is already on the air, so it's hard to park on weekends, and it's very crowded. I go in the morning or afternoon on weekdays. It's definitely less crowded. Mangwon Market tteokbokki, croquette, seasoned skate, pork cutlet, etc. There are a lot of delicious things. I like red fish cake.It's definitely the best home tteokbokki ever. If you like spicy food, I recommend it. Fish cake and fried food are delicious."
유리 김,4,1460,"서울 로컬 스팟 굉장히 한국적인 분위기의 시장이고, 근처에는 젊고 현대적인 가게들이 많아서 그 조화가 너무 좋습니다. 두 공간으로 나눠져있는데, 한쪽은 조용하고 한쪽은 엄청 붐빕니다. 주말에는 특히 걷기 힘들 정도로 사람이 많아요","Spot in Seoul is a very Korean market, and there are many young and modern shops nearby, so the harmony is great. It's divided into two spaces, one side is quiet and the other side is very crowded. Especially on weekends, there are so many people that it's hard to walk."
유이717,4,1460,"간식 꽈배기 저렴하고 맛있게 먹었어요... 유명한 닭강정집이 있는데, 분점이 하나 더 있으니 사람없는곳에가서 사먹으면 될거 같아요.. 돈가스도 맛있고... 간식거리사서 한강가기 좋아요.","Snack snack was cheap and delicious... There is a famous chicken gangjeong restaurant, and there is another branch, so I think we can buy it in a deserted place. Pork cutlet is delicious... It's good to go to the Han River to buy snacks."
경경 팍,5,1460,망원시장 볼거리 먹을거리 최고 주로 난지캠핑장 갈때 자주 애용하는데 군것질 거리도 많고 야채. 과일도 싸게 팔아서 좋아요 :) 망원시장 양쪽에 고로케 두군데 모두 맛있어요. 서울에서 유명한 시장들에 비해 가격대도 착하고 다양한 먹거리들이 있어서 자꾸자꾸 가고 싶은 곳이랍니다,"Mangwon Market food is the best. I usually use it when I go to Nanji camping site. There are many snacks and vegetables. It's good to sell fruits cheaply:) There are two croquettes on both sides of the Mangwon market. Compared to the famous markets in Seoul, there is a good price range and there are various foods, so I want to keep going there."
Sejin Ahn,4,1460,"서울의 대표시장! 근래에는 재래시장이 재조명되며 현대적인 모습으로 재탄생하는 것을 쉽게 볼 수 있다. 망원시장은 그 대표적인 곳의 하나로, 일반적으로 서울에서는 중심가의 광장시장이 잘 알려져 왔지만 근래에 새롭게 화제에 오르고 있다. 도심에서는 약간 밖에 있지만 월드컵 경기장이나 홍대에서 멀지 않으며 소위 '망리단길'이라고 부르는 지역인 점에 따라 내외국인 모두가 방문하는 대표시장이 되었다. 흔한 시장들의 모습처럼 과일을 비롯한 기본적인 식재료를 판매하는 곳은 물론, 방문객들도 쉽게 먹을 수 있는 조리식품을","Seoul's representative market! In recent years, traditional markets have been re-emerged and it is easy to see them reborn in a modern way. Mangwon Market is one of the most popular places in Seoul, and although the plaza market in the center has been well-known, it has recently become a hot topic. Although a little out of the city center, it is not far from the World Cup Stadium or Hongdae, and has become a representative market for both Koreans and foreigners, depending on what they call the ""Mangridan-gil."" Like the usual markets, there are places that sell fruits and other basic ingredients, as well as foods that visitors can easily eat."
choichoi123,4,1460,"서울 최고의 재래시장 볼 것 많고 다닐 곳 많고 먹을데 많아서 외국에서 손님 오면 근처 구경을 꼭 시켜 드리는 곳이다. 모두들 만족하는 곳,, 망원동 자체가 아기자기한 곳이 많아 볼 곳이 많다. 단 주차하기가 넘 어렵다.","There are many places to visit and eat in Seoul's best traditional markets, so it is a place where visitors from abroad can visit. There are many places where everyone is satisfied and Mangwon-dong itself is cute. However, parking is very difficult."
재현 탁,5,1460,먹을거리 많아요 옛날 건물에 새롭게 인테리어해서 묘한 매력이 있는 작은 식당 및 카페가 많아요. 시장에도 먹을것도 종류가 많고 저렴해서 재밌었어요.,There's a lot to eat. There are a lot of small restaurants and cafes that have strangely attractive interior design in the old building. There were many kinds of food in the market and it was fun because it was cheap.
J J,4,1460,"저렴한 가격 식재료, 음식 등 각종 먹거리가 즐비한 시장. 마트나 슈퍼에 비해 값이 싸서 부담이 덜하다. 대신 카드결제를 받지 않는 곳이 종종 있는 것은 불편","A market full of cheap food ingredients, food and other foods. It is less burdensome because it is cheaper than mart and supermarket. Instead, it is inconvenient that some places do not accept credit card payments."
dalvoff,4,1460,"저렴한 가격 좋은 품질의 음식과 식재료, 과일을 저렴한 가격으로 살 수 있습니다. 단점은 겨울에 너무 추워서 오래 둘러보기 힘들다는 것입니다.","You can buy good quality food, ingredients, and fruits at low prices. The disadvantage is that it is too cold to look around for a long time in winter."
봉기 문,4,1460,방문기 서울 많은 재래시장 중 많은 발전과 변화로 뜨는 곳 중 하나인 곳입니다. 비교적 서민적인 시장 중 하나로 상인들의 서비스마인드가 많이 개선돼 찾는 이의 만족도가 높은 곳이지요.,"It is one of many traditional markets in Seoul during the visit. It is one of the most common markets, and the service mind of merchants has improved a lot, so the satisfaction of the visitors is high."
DavidG897,4,1460,관광객이 아닌 거주자를 겨냥한 현지 시장을 방문하는 것이 좋다. 시장은 주민들이 그것을지지하기 위해 지원하는 지역 사회 자산입니다. 관광객을 겨냥한 시장을보기보다는 오히려 그런 시장을 방문하는 것이 좋았다.,"It is recommended to visit local markets aimed at residents, not tourists. Markets are community assets that residents support to support them. It was better to visit such a market than to see a market aimed at tourists."
Keith L,4,1460,"한식 거리 망원 시장은 양측의 상점들이 모든 종류의 음식을 파는 길고 오래된 거리입니다. 모든 음식점을 탐색하고 음식을 먹지 않는 한 1 ~ 2 시간 안에 시장을 커버 할 수 있습니다. 모든 종류의 음식이 있습니다. 날 음식, 고기, 야채, 해산물, 과일, 절인 음식이 있습니다. 우리는 시장의 끝 근처에서 돼지 고기와 닭 껍질을 먹었다. 그리고 고기는 컸다.","The Korean Food Street Mangwon Market is a long and old street where shops on both sides sell all kinds of food. You can cover the market in one to two hours unless you explore all the restaurants and eat. There are all kinds of food. We have raw food, meat, vegetables, seafood, fruits, and pickled food. We ate pork and chicken skin near the end of the market. And the meat was big."
TanWidya,2,1460,"아니 관광객을위한 우리는 2018 년 12 월 24 일 월요일에 이곳에갔습니다. 이 시장을 찾기가 어렵습니다. 우리는 만원 역에서 약 10 분 걸어야하며, 망원 출구에서이 시장으로가는 신호가 없다. 우리는이 시장을 찾기 위해 여러 사람에게 물어야합니다. 제한된 식품만을 판매하는 현지 전통 시장. 3 오뎅 = 2000 원 (명동 오동보다 @ 2000 원)","No, for tourists, we went here on Monday, December 24, 2018. It's hard to find this market. We have to walk about 10 minutes from the 10,000 won station, and there is no signal from the Mangwon exit to this market. We have to ask many people to find this market. A local traditional market that sells only limited food. 3 Odeng = 2000 won (@2000 won than Myeong-dong Odong)"
Chopstick Travel,5,1460,"Kwangjang 시장에 대한 최고의 대안 광장 시장을 좋아하지만, 관광객들은 매우 바쁘고 관광객들은 매우 어려운 길을 걷는 경향이 있습니다. 이 시장에는 가격이 훨씬 좋은 맛있는 음식이 있습니다. 짧은 갈비 패티, 만두, 유명한 후라이드 치킨, 고로케, 핫떡, 발효 가오루, 칼국수와 훨씬 더 기성품. 바삭 바삭한 아이작 토스트도 있습니다. 월드컵 경기장이나 홍대 근처에 있다면 그 위치가 너무 좋습니다. 음식에 대해 진지한 사람들을위한 훨씬 더 나은 선택!","Although I like the best alternative square market for Kwangjang market, tourists are very busy and tourists tend to take very difficult paths. There is delicious food in this market that costs much better. Short rib patties, dumplings, famous fried chicken, croquette, hotteok, fermented stingray, kalguksu and much more ready-made. We also have crispy Isaac Toast. If you are near the World Cup Stadium or Hongdae, the location is so good. A much better choice for people who are serious about food!"
