u_id,review,u_rate,p_id,review_en
J2da,입구가 지하철이랑 가까워 대중교통으로 오기 편하다. 계단이 무척이나 많고 거리는 짧지만 힘들고 경사가 험하고 서울이라 사람이 많음,4,135,"The entrance is close to the subway, so it is convenient to come by public transportation. There are so many stairs and the distance is short, but it is hard, the slope is rough, and there are many people in Seoul."
형근 김,"청계산은 서울 서초구부터 경기도 광주시까지 이어져 있는 산입니다. 대중교통을 이용해서 가기 편한데, 서울에서 갈 때는 지하철 신분당선 청계산 입구 역에서 내리면 됩니다. 등산로가 많이 있어, 정상에 올라가지 않더라도 지루하지 않게 산행할 수 있습니다. 도심 속에 산이라 주말에 짬 내서 가기 좋은 곳입니다!",5,135,"Cheonggye Mountain is a mountain that runs from Seocho-gu, Seoul to Gwangju, Gyeonggi-do. It's convenient to use public transportation, but you can get off at the entrance station of Cheonggye Mountain on the Shinbundang Line from Seoul. There are many hiking trails, so you can go hiking without getting bored even if you don't go up to the top. It's a mountain in the city center, so it's a good place to visit on weekends!"
Soo_in_Seoul,근처 도시 사람들이 많이 가곤 합니다. 신분당선이 뚫려 있고 분당에서 마을버스같은 게 아마 주말에 특별배치 되는 걸로 알고 있습니다. 근처에 등산복 전문매장과 한식당이 많으니 등산하시고 지인들과 함께 식사하셔도 좋을 것 같습니다. 하지만 워낙 많은 인구를 가진 도시가 주변에 있다 보니 주차난이 있을 수 있습니다.,3,135,"Many people from nearby cities go there. Shinbundang Line has been opened, and I know that village buses in Bundang will be specially arranged over the weekend. There are many hiking clothes stores and Korean restaurants nearby, so you can go hiking and eat with your acquaintances. However, since there are cities with so many people around, there may be parking difficulties."
czdy,강남분당과천 지역쪽 사람들이 즐겨찾는 산이에요. 경관도 괜찮고 험하지 않아서 오르기 좋아요. 지하철로 가기도 괜찮고 맛집도 많아요.,4,135,It is a popular mountain in the Gangnam Bundang-cheon area. It's good to climb because the view is good and it's not rough. It's good to go by subway and there are many good restaurants.
ㅡ모모ㅡ,"그냥 산이라고 하기엔 너무나 낮은.....동네 뒷동산 정도가 맞을것 같습니다. 접근성 좋고, 전철역이 가깝게 있으니까 대중교통으로 다니기 나쁘지 않습니다. 다만, 돌 산이고 그렇기때문에 첨부터 끝까지 계단으로 이뤄진 산...체력훈력을 위해서라면 모를까 일반 산행을 생각한다면 크게 후회 할 수 있습니다....그냥 계단산....돌계단, 나무계단 계단, 계단...계단...",3,135,"It's too low to be just a mountain... ...and I think it's a hill in the back of the neighborhood. It's accessible and close to the subway station, so it's not bad to go by public transportation. But it's a stone mountain, so it's a mountain of stairs from beginning to end.If it's for physical training, you might regret it a lot if you think about hiking in the mountains.Just the stairs...Stone steps, wooden steps, stairs... stairs..."
원이와민이,"등반길이 잘 닦여 있고, 여러 코스가 마련되어 있어서 3시간 이내로 짧게 다녀올수도 있어요 강남 신분당선 지하철역에서도 가기가 쉽구요. 산책로도 있으니 아이랑 함께 해도 괜찮을 거 같아요",4,135,"The hiking trail is well paved, and there are many courses available, so you can take a short trip within three hours. It's also easy to get to the subway station on the Shinbundang Line in Gangnam. There's a promenade, so I think it'll be okay to go with"
YEA RI N,"등반을 가장한 조금 무거운듯한 산책 후, 청계산 초입에서 막걸리 한잔이면 저멀리 여행을 온 듯한 기분이 든다. 건강과 휴식을 원한다면 청계산으로~",3,135,"After a slightly heavy walk disguised as climbing, a glass of makgeolli at the entrance of Cheonggye Mountain makes you feel like you are traveling far away. If you want health and rest, go to Cheonggye Mountain."
rose o,서울에서 무리하지 않고 적당히 오를 수 있는 산 중에 하나입니다. 청계산역에서 내리면 한 정거장 정도 걸어가야 하므로 지하철로 올 경우 양재역에서 내려 버스로 갈아 타는 것을 추천드립니다.,4,135,"It is one of the mountains in Seoul that can climb moderately without overdoing it. If you get off at Cheonggye Mountain Station, you have to walk about one stop, so I recommend you get off at Yangjae Station and transfer to a bus."
soobok,많은 등산 동호인들이 찾는 산입니다. 청계산 입구부터 아웃도어 전문점과 각종 식당이 자리잡아서 사람들이 많이 오는 곳이라고 생각했고 정산 매봉에 오르면 서울 전경을 바라볼수 있습니다.,4,135,"Many mountain climbers visit this mountain. From the entrance of Cheonggye Mountain, outdoor shops and restaurants are located, so I thought it was a place where many people come. If you go to Jeongsan Maebong, you can see the whole view of Seoul."
슝2슝2,지하철 청계산입구역에서 바로 갈수있어서 좋아요~ 계단으로 된 등산로와 일반등산로로 나눠져있어서 취향대로 등산할 수잇어요 옥녀봉까지는 수월하게 올라갈수있어서 너무 좋았어요~ ㅎㅎ 근처 식당도 많이비싸지않고 맛이있어서 만족합니다.,5,135,"It's good to be able to go directly from Cheonggye Mountain Station on the subway. It is divided into stairs and regular hiking trails, so you can go hiking according to your preference. It was so nice to be able to go up to Oknyeobong easily. I am satisfied that the restaurant near Haha is not expensive and delicious."
