u_id,review,u_rate,p_id,review_en
JENAH C,"코엑스몰이 리뉴얼한 후 중간에떠억 자리한 이곳. 여러모로 친구들과 만남의 장소도 되고, 책보기도 좋고, '무엇보다도 상징적인 곳이라 좋은 것 같아요. 여기서 강연이나 공연도 간간히 하는데 오며가며 보기 좋아요!",3,723,"After the renewal of COEX Mall, this place is located in the middle of nowhere. In many ways, it's a place to meet friends, to read books, and it's a place that's more symbolic than anything. There are occasional lectures and performances here, so it's nice to see them on the way!"
Alpertbyun,"코엑스몰 스타필드 안에 위치하고있는 별마당 도서관 누구든 와서 자유롭게 책볼수있어요, 다만 사람들이 많은 편이에요. 주말에는 피하는게 좋은거같아요.",4,723,"Anyone in the Byul Madang Library located in Starfield, COEX Mall can come and read books freely, but there are a lot of people. I think it's better to avoid it on weekends."
hjk8427_,"이러놋에 이렇게 큰 도서관이 설치되어서 나름 아이코닉한 장소가 되었고, 관광객들도 많이 오는 곳이 되었어요. 덕분에 코엑스에 가면 꼭 한번은 보러 가는 곳입니다.",5,723,"This large library was built in Ironot, making it an iKONIC place and attracting many tourists. Thanks to you, it's a place I go to at least once at COEX."
ye0ngjus,서울 삼성동 코엑스몰에 있는 별마당 도서관은 천장까지 이어진 책장으로 유명하다. 여기서 인증샷도 많이 찍고 도서관인만큼 책도 자유롭게 꺼내서 읽을 수 있다. 다만 주말에는 사람이 너무 많으니 책을 볼 목적이라면 평일에 가는 것을 추천한다.,3,723,"The Byul Madang Library at COEX Mall in Samseong-dong, Seoul, is famous for its bookshelves that extend to the ceiling. Here, you can take a lot of proof shots and read books freely as it is a library. However, there are too many people on weekends, so I recommend you to go on weekdays if you want to read books."
hyunaee,항상 사람이 많은 곳이였는데 밤에는 처음가봤어요 밤에 가니까 조명이 더 이쁜거 같았고 다양한 행사도 조용히 진행하는것같고 사람이 많아도 조용해서 책읽기에도 좋았던것같네요,5,723,"It was always crowded, but it was my first time at night. The lighting was prettier at night, and the various events seemed to be held quietly, and it was good to read because it was quiet even though there were many people."
Eunhyeok lee,가운데에 있던 이상한 장식품 사라지고 예쁜거 들어왔네 여기 한가운데에 큼지막한 장식품 매번 바뀝니다 주기는 모르겠지만 요전에 왔을 때는 뭔 나무였음,5,723,"The weird decorations in the middle are gone and the pretty ones are coming in. The big ones in the middle change every time. I don't know the cycle, but the other day, it was some kind of tree."
가드너송,"근처 들릴때마다 가게되는 만남의 장소이면서 책을 읽을 수 있는 곳, 분위기도 좋고 사진찍기도 좋다. 다만 아쉬운건 사람이 많을 경우엔 자리가 좀 부족할 때도 있다는 것",4,723,"It is a meeting place where you can go whenever you visit nearby, where you can read books, the atmosphere, and take pictures. But the only thing that's unfortunate is that when there's a lot of people, there's not enough room."
hojung S,약간의 소음은 있지만 다들 열심히 공부도 하고 책도 읽고 그러더라구요~ 외국인들이 특히 많은 것 같아요! 예전보다 조금 덜 시끄러운 느낌이에요.,4,723,"There was some noise, but everyone studied hard and read books. I think there are especially many foreigners! It feels a little less noisy than before."
fineweather0314,그냥 인테리어 용인것 같아요. 도서관이라는 말이 무색할정도로 시끄럽고 대체 이런곳에서 무슨 책을 본다는건지....장소가 아깝다 느껴집니다. 다른 의미있는 장소로 바꾸는게....,1,723,I think it's just for interior design. What kind of book do you read in a place like this?I feel like the place is a waste. It's better to switch to another meaningful place.
sanrio2018,앉아서 책볼 곳도 많고 다양한 책들 접할수있어서 방문하기 좋습니다. 음료마시면서 책보는 사람들도 많더라구요. 아이들 눈치안보고 이야기나누며 책볼수있어서 좋아요 . 다만 주차가 비싸니 주의해야합니다.,5,723,"It is good to visit because there are many places to sit and read books. There are a lot of people who drink and read books. It's good to be able to read books without looking at children. However, parking is expensive, so be careful."
