u_id,review,u_rate,p_id,review_en
407yjj,무료지만 즐길 거리가 정말 많아요 규모도 크고요. 봄에는 벚꽃 길도 아주 길고 예쁜 곳입니다. 동물원은 좀 낡았지만 있을 건 다 있고요. 다만 엄청 넓으니 주의하세요,5,345,"It's free, but there's a lot to enjoy. It's big. In spring, cherry blossom roads are very long and pretty. The zoo is a bit old, but it's all there is. But it's huge, so be careful."
JENAH C,전엔 입장료도 있었는데 어느순간부터 무료입장으로 바뀌어서 너무좋아요. 산책하기도 좋고 동물원도 있어서 가족끼리 와도 좋아요. 놀이기구 몇개는 이용료 내서 이용하면 되니깐 주말나들이 하기에도 저녁에 산책하기도 좋은것 같아요!,4,345,"I used to have an entrance fee, but I'm so happy that it changed to free admission at some point. It's good to take a walk and come to the zoo with your family. You can pay for some rides, so it's good to take a walk in the evening for a weekend outing!"
sungbuddaface,"이름처럼 어린이들을 위한 공원이라 생각하기 쉽지만, 이미 동네 주민들은 물론 많은 사람들이 무료로 입장해서 산책, 운동도 하고 놀이기구나 동물원 이용도 할 수 있는 다목적 공원이에요. 주차는 정문/후문에 유료주차할 수 있게 되어있는데 주말은 대부분 만차라 이용이 쉽지 않고 가급적 지하철, 버스 이용해서 가는게 좋을 것 같네요. 주위에 아차산, 용마산으로도 갈 수 있어 등산/산책 코스로 같이 활용해도 좋고 가족나들이나 커플데이트 코스로도 좋습니다.",5,345,"It's easy to think of it as a children's park as its name suggests, but it's already a multi-purpose park where many people, as well as local residents, can walk, exercise, ride, or use the zoo for free. Parking is supposed to be paid at the front/rear gate, but most weekends are full, so it's not easy to use, so it would be better to use the subway or bus if possible. You can go to Achasan Mountain or Yongmasan Mountain nearby, so you can use it as a hiking/traveling course, as well as a family outing or couple date course."
sanrio2018,동물들도 다양하게 있고 곳곳에 놀이터도 있어서 아이들 신나게 뛰어다니기 좋아요 . 그런데 무료입장!! 애니멀쇼정도만 티켓구입해서 보는거라 부담없이 하루 나들이 가기 좋습니다.,5,345,"There are various animals and playgrounds everywhere, so it's good for children to run around. But free admission! It's good to go on a one-day outing without any burden because you only buy tickets for an animal show."
Kylie Park,운동하는 동네 주민분들도 많고 소풍나온 아이들도 많은 정겨운 공원이다. 포켓몬고 하는 친구도 자주 방문하는 곳으로 근처 주민들이 주로 많이 방문한다.,4,345,It is a friendly park with a lot of residents who exercise and many children who go on picnics. Pokemon Go is also a popular destination for friends who play Pokemon Go residents often visited by nearby residents.
"ME, wow",놀이동산이나 동물원으로서는 별로지만. 위치 좋고 넓어서 산책 데이트용으로 딱 좋아요~ 봄여름가을겨울 다 가봤지만 역시 여름은 좀 많이 덥고. 봄가을이 제일 좋은 듯하네요~,4,345,"It's not good for amusement parks or zoos. It's nice and spacious, so it's perfect for a walk date. I've been to spring, summer, fall, and winter, but it's hot in summer. Spring and fall seem to be the best."
TravelRang,서울 어린이대공원. 놀이기구는 비용이 들지만 어린이대공원자체는 입장료가 무료라서 근처가셨다가 바람쐬러 가시기에 좋지 싶어요,5,345,"Seoul Children's Grand Park. The rides are expensive, but the entrance fee to Children's Grand Park itself is free, so it would be good to go nearby and get some fresh air."
공쥬님,비교적 한산하고 사람도 적지만 벚꽃시즌인 봄에 가면 정말 흐드러진 벚꽃이 아름답습니다 연인과 가족과 함께 가기 좋습니다,4,345,"It's relatively quiet and few people, but if you go in spring, the cherry blossoms are really beautiful. It's good to go with a lover and family."
gingertea,굉장히 넓은 공원입니다. 동물원도 있고 작은 놀이공원도 있고 봄에 벚꽃이 참 예쁜 곳이예요. 가족이 주말에 소풍나가기 참 좋습니다.,5,345,"It's a huge park. There is a zoo, a small amusement park, and cherry blossoms are very pretty in spring. It's great for family to go on a picnic on weekends."
경경 팍,아이뿐만아니라 어른들도 신기하게 즐길 수 있는 곳! 살아있는 동물들의 모습을 직접 가까이에서 볼 수 있는 곳!! 코끼리 호랑이 표범 사자 등등 실제로 보니 너무너무 신기한 곳,5,345,"It's a place where not only children but also adults can enjoy! A place where you can see live animals up close! Elephants, tigers, leopards, lions, etc. It's so amazing to see in person."
