u_id,review,u_rate,p_id,review_en
Relax825963,사실 여기는 분수보다는 자전거 및 바이커들이 중간에 쉬어가기 좋은 장소입니다. 시간내서 오실 필요는 없습니다. 서울에서 적당히 중간이라서 여기서 쉬며 라면 또는 마실거리 마시고 돌아가는 장소...입니다.,3,280,"In fact, this is a better place for bicycles and bikers to rest in the middle than a fountain. You don't have to make time to come. It's moderately medium in Seoul, so I'll rest here and have a drink and go back home.is"
juou,반포한강공원과 잠수교를 함께 둘러보기 좋아요. 잠수교 중간에 차대놓고 분수구경도 하고 바람쐬기에 딱 좋은거 같습니다,4,280,"It's good to look around Banpo Han River Park and Diving Bridge together. I think it's a perfect place to park in the middle of a diving bridge, see a fountain, and get some fresh air."
LYONTEK,"사진은 예쁜데, 실제로 보면 별로에요. 솔직히 말해서 서울관광이 코스로 넣으려면 다른데 가는게 나아요. 갔다가 실망하고 왔습니다.",2,280,"The picture is pretty, but it doesn't look good in person. To be honest, it's better to go somewhere else if you want to take a tour of Seoul as a course. I was disappointed."
jaeho kim,세빛섬 바로 앞에 분수가 있고 골든블루마리나라는 수상레저업체에서 분수쇼 관람을 위한 요트 보트 탑승 프로그램이 있습니다. 저희는 분수쇼 타임에 요트를 빌려 분수쇼를 관람했는데 이건 정말 말로 설명할수 없을 만큼의 환상적인 느낌이었습니다. 꼭 경험해 보세요,5,280,"There is a fountain right in front of Sevit Island, and a water leisure company called Golden Blue Marina has a yacht boarding program for the fountain show. We rented a yacht during the fountain show time and watched the fountain show, and it was a fantastic feeling beyond description. You must experience it."
Joon K,"반포대교이 분수쇼 때문인지 사람이 정말 많네요. 날씨가 좋은것도 한몫을 하긴 하는거 같습니다. 특별한 분수쇼는 아니지만, 강바람 맞으면서 보기 좋은거같아요",4,280,"There are a lot of people on Banpo Bridge because of Banpo Bridge. I think the fine weather also plays a part. It's not a special fountain show, but I think it's nice to see you in the wind."
J J,저녁에 다리에서 조명과 함께 분수쇼를 한다. 시간을 미리 알아놓고 감상하면 좋은 경험이 될것.,4,280,"In the evening, there is a fountain show with lighting on the bridge. It will be a good experience if you know the time in advance."
Ju-yeon Y,반포대교 옆에 있는 새빛둥둥섬의 야경이 이뻐요 한강를 따라 여러 행사 보는 재미도 있어요!!,3,280,The night view of Saebit Doongdoong Island next to Banpo Bridge is pretty. It's fun to watch various events along the Han River!
Hyo-Jung Kim,맛있는 음식. 예쁘고 특이한 핸드메이드 소품. 한강에서 산책하고 밤을 즐기기에 최고의 장소.,4,280,Delicious food. Pretty and unusual handmade props. The best place to take a walk in the Han River and enjoy the night.
DragonT,"새빛둥둥섬 옆 반포대교. 저녁에 하루에 두번 분수쇼를 진행하며 조명이 멋있습니다. 음악과 함께 분수가 나오는데 꽤 멋있고 아름답습니다. 금,토 저녁엔 도깨비 야시장이 열려서 다양한 구경거리 및 먹을꺼리도 많습니다.",4,280,"Banpo Bridge next to Saebitungdong Island. In the evening, there is a fountain show twice a day and the lighting is great. The fountain with music is pretty cool and beautiful. On Friday and Saturday evenings, the goblin night market is open, so there are many things to see and eat."
KarlWolf,"봄, 여름, 가을밤에 오기 참 좋은 반포 한강대교. 겨울이 아닌 시즌엔 무지개 다리를 보면서 치킨과 맥주를 마실 수 있는 여유를 가질 수 있는 그런 곳이다. 멋진 야경도 볼 수 있고 음악에 맞춰 나오는 무지개 분수가 참 아름답고 사진찍기 좋은 곳이다",5,280,"Banpo Hangang Bridge is great for spring, summer, and autumn nights. This is a place where you can enjoy chicken and beer while watching rainbow legs during the season, not winter. You can see the beautiful night view and the rainbow fountain in music is very beautiful and nice place to take pictures."
올리브521,몇번지나가다가 보다가 세빛공영주차장에 주차하고 30분간격으로 음악과 함께 나오는 분수쇼를 보았는데 야간에 정말 아름다운 장관이였다.서울에 볼만한게 많지않다고 생각했는데 구석구석 은근 기쁜곳이 많아졌다,5,280,"After passing a few times, I parked in the Sebit public parking lot and saw a fountain show with music for 30 minutes, and it was a really beautiful view at night.I thought there weren't many things to see in Seoul, but there were a lot of happy places in every corner."
으헤헤헤헹,분수가 너무나 아름답습니다. 멋지고 아름답고 꼭 여름에 보러가세요 함께 맥주한잔하면서 경치에 취해보세요.,5,280,The fountain is so beautiful. It's wonderful and beautiful. Please go see it in the summer. Have a beer together and get drunk on the scenery.
애만이,"밤에 가야 이쁜 반포대교 무지개분수를 볼수있는 반포지구. 한강물이 흐르고, 서울의 야경도 보이고 운치가 있는곳 애인과 함께 라면 더 좋다.",5,280,"Banpo district where you can see the beautiful rainbow fountain of Banpo Bridge at night. Ramen is better with your lover at a place where the Han River flows, the night view of Seoul is visible."
승규 유,단편영화 촬영차 갔었는데 생각했던 것보다 무지개 분수는 더 아름다웠어요. 다만 사람이 워낙 많아서 적당한 자리 잡기가 쉽지는 않아요.,4,280,"I went to film a short film, and the rainbow fountain was more beautiful than I thought. However, it's not easy to get a proper seat because there are so many people."
itszoomy,늦여름밤 혹 가을밤 시원한 강바람에 산책하기 좋은 장소입니다 특정 시간대에 음악과 함께 분수쇼가 있는데 그 분위기를 즐기는 것도 좋아요,5,280,"It's a good place to take a walk in the cool river breeze on a late summer night. There's a fountain show with music at a certain time, and it's good to enjoy the atmosphere."
bjh3676,"지하철 3,7,9호선 고속터미널역에서 걸어서 15분정도면 갈 수 있습니다. 개인적으로 한강 다리의 경치 중에 저녁 반포대교의 남단이 가장 멋지다고 생각하는데, 멀리 남산타워가 보이고, 잠수교로 오가는 라이더들, 세빛 둥둥섬, 잘 정비된 둔치 등 평화로운 모습이 인상적입니다. 여름시즌에는 무지개 분수쇼도 좋은 구경거리입니다.",5,280,"It takes about 15 minutes on foot from Express Bus Terminal Station on subway lines 3, 7, and 9. Personally, I think the southern end of Banpo Bridge in the evening is the most beautiful view of the bridge, and the peaceful scenery is impressive, including the Namsan Tower, the riders who come and go to the diving bridge, Sebit Dongdong Island, and the well-maintained Dunchi. Rainbow fountain show is also a good thing to see in summer."
진규 이,"반포대교는 강남의 중심부와 강북의 중심부를 연결하는 다리다. 그래서인지 교통 행로로서의 반포대교는 피해가고 돌아가고 싶은 상습 정체지이다. 하지만 밤이 되고 다리에 불이 들어오면 반포대교는 그 자체가 예술품이요, 관광지가 된다. 두 개의 얼굴을 지닌 반포대교.. 반포대교는 다리 위보다 아래가 더 매력적인 다리다.",4,280,"Banpo Bridge is a bridge that connects the center of Gangnam with the center of Gangbuk. Perhaps that's why Banpo Bridge as a transportation route is a habitual stop to avoid. However, when the night falls and the bridge lights up, Banpo Bridge itself becomes an art and a tourist destination. Banpo Bridge with two faces. Banpo Bridge is a more attractive bridge below the bridge."
떼류니,4~11월까지는 분수쇼가 있습니다. 음악이랑 같이흘러나오는데 선곡은 마음에 안들지만 시원한 물줄기를 보고있으면 기분도 시원해지는 기분입니다. 옆에는 새빛둥둥섬이 있는데 조명효과로 인해 전망이 괜찮은 편입니다. 반포시민공원에는 친구-연인보다 가족단위가 많은듯합니다. 날씨좋은 한여름날밤 더위를 피해 가만히 앉아서 쉬기 좋은곳,5,280,"There is a fountain show from April to November. I don't like the song, but when I see the cool water, I feel cool. There is Saebit Doongseom next to it, and the view is good due to the lighting effect. Banpo Citizens Park seems to have more family units than friends and lovers. a nice place to sit and rest on a sunny midsummer night to escape the heat."
kris,"여름에 반포대교에서 분수쇼를 하는 것은 정말 아름답습니다. 한강에서의 정취를 느낄 수 있는 곳입니다. 잠수교해질녁에 잠수교를 걷는것도 좋습니다. 자전거를 타다가 힘들면 , 한강공원 잔디밭에서 쉬어 가기에도 좋습니다. 여름엔 모기가 많으니, 모지방지 로션을 바르고 가시길 권합니다.",4,280,"It is really beautiful to have a fountain show on Banpo Bridge in the summer. It is a place where you can feel the atmosphere of Han River. It's also good to walk on a diving bridge at night. If you are having a hard time riding a bike, it is also good for resting on the grass of Han River Park. There are a lot of mosquitoes in the summer, so I recommend you to put on a lotion."
hohochai,"31개의 한강다리 중 유일하게 분수시스템을 갖춘 반포대교입니다. 아래쪽은 잠수교가 있어 두개의 다리가 평행으로 이어지는 것또한 볼거리 이구요. 산책이나 조깅을 하기에 더할나위없는 곳입니다. 4월부터 10월까지 매회 20분씩 바람의 방향에 따라 가동을 하고 있구요, 평일과 휴일에 따라 시간이 틀리니 확인하시고 가셔야 합니다.",4,280,"Of the 31 bridges, Banpo Bridge is the only one with a fountain system. There's a submersible bridge down there, and it's also a sight to see two bridges parallel to each other. It's a great place to take a walk or jog. From April to October, it is operated for 20 minutes according to the direction of the wind, and the time varies depending on weekdays and holidays, so you have to check before you go."
mkla1004,반표대교까지 산책후 대교에 앉자보는 분수쇼가 너무 로맨틱하고 아름답습니다.여름에 치맥하면서 앉자있으면 서울에 낭만을 느낄수 있습니다;),4,280,"After taking a walk to Banpyo Bridge, the fountain show is so romantic and beautiful.If you sit down with chicken and beer in the summer, you can feel the romance of Seoul.;)"
nayepp,"겨울, 비오는날만 아니면 분수도 볼수있고 음악도 나와요~ 분수색들이 너무 예쁘고 시원하고 멋져요",4,280,"If it's not winter or rainy, you can see the fountain and the music comes out. The colors of the fountain are so pretty, cool, and wonderful."
everlsk,반포대교 무지개분수는 한강 야경의 방점을 찍는 멋진 곳 입니다. 바로 옆에는 반포 한강공원이 있어 봄~가을에는 이곳에서 가볍게 맥주 한잔 하는 분들도 많이 있습니다.,5,280,"Banpo Bridge Rainbow Fountain is a wonderful place to take a picture of the night view of the Han River. There is Banpo Han River Park right next to it, and there are many people who have a light glass of beer in spring and fall."
이안팍,유람선 타면 가는 곳이다 다리 옆으로 분수가 나오고 조명과 어울려져 멋지다 근처 새빛둥둥섬도 있다,4,280,"It's where you go on a cruise. Water fountain is next to the bridge and lights go together. Cool. Nearby, there's Saebit-dong Island."
sdc0503,반포대교는 낮보다는 저녁때 가보셔야합니다. 해가 지고 어두워지면 무지개분수가 가동되어 아름다운 모습을 보실수 있습니다. 계절마다 가동시간이 조금씩 차이가 있어서 120 다산콜센터에 문의를 하신다음 시간을 정확히 알고 가시면 됩니다. 버스정류장도 바로 앞에 위치해 있어서 대중교통으로도 가기에 용이합니다.,4,280,"You should go to Banpo Bridge in the evening rather than during the day. When the sun goes down and darkens, you can see the beautiful scenery of the rainbow fountain. There is a slight difference in operating hours from season to season, so please contact 120 Dasan Call Center and know the exact time. The bus stop is also located right in front of it, so it is easy to get there by public transportation."
민석 권,고속 터미널에서 바로 자전거를 타고 아래로 진입할수 있습니다. 야경이 정말 아름다운 곳이고 한강 자전거길에 위치해 있습니다. 그냥 편안히 쉴수도 있고 음식배달도 가능합니다. ^^,5,280,You can ride your bike directly down from the express terminal. The night view is really beautiful and it is located on the Han River bike path. You can just relax and deliver food. ^^
민영 김,지하철역에서 10분~15분정도 걸어갔던거 같구요. 해가 뉘엇뉘엇 질때쯤 도착하여 다리 밑 구경하기 좋은자리에 앉아 기다렸습니다. 시간이 되니 조명이 켜지며 음악이 흐르고 물줄기가 나왔는데 음악에 맞춰 변하는 물줄기가 너무 아름다웠습니다. 바람부는 방향에 따라 틀어주는 위치가 다르다고 들었는데 다행히도 제가 앉은 방향에서 물줄기를 볼수 있었습니다~ 공원도 널찍해서 바람 쐬기 좋았네요!,3,280,"I think I walked from the subway station for 10 to 15 minutes. I arrived at sunset and waited in a good seat under the bridge. When I had time, the lights turned on, the music came out, and the stream changed to the music was so beautiful. I heard that the wind was blowing in different positions, but fortunately, I could see the stream in the direction I was sitting in.The park was spacious so it was nice to get some fresh air!"
세영최2015,쇼 안함 담당전화안받으 이건뭐 홈페이같은데라도 언제하는지 알려주지 고생해서 찾아갔는대. 멍하니 한시간 있다가 옴. 나 뿐만아니라 다른 차도 기다리다 그냥 옴,1,280,I'll tell you when it's on your home page or something. He went to see you. After an hour in a daze. wait for another car as well as me Just a oh-oh
