review,u_id,u_rate,p_id,review_en
정말 오래됐지만 변하지 않는... 정말 오래됐지만 변하지 않는 밀리오레 동대문 하면 먼저 떠오르는 쇼핑몰이지 않나 싶다. 특히나 쇼핑할 때 흥정하는 재미까지 있으니 저렴하게 겟할 수 있는 곳이였어요,사장님,3,11,"It's been a long time, but it hasn't changed... It's a shopping mall that comes to mind first when you think of Migliore Dongdaemun, which has been around for a long time but remains unchanged. Especially, it was a cheap place to get it because it was fun to bargain."
"동대문 밀리오레 4층 직원은 손님 시비걸고 불친절 하고 개념 없어요 동대문 밀리오레 4층 직원은 손님 에게 시비걸고 불친절 하고 개념 없어요 부러운건지 시샘을 하는건지 지나가는 손님을 조롱하고 경찰서 가려 했지만 말려서 참았네요 인간같지않은 비매너 상인들 소수가 밀리오레 직원들 욕먹이는 꼴 , 기본탑재도 안된 상인에게 판매권을 주는지 이해가 안됨 이러니까 친절한 백화점 으로 가려고하지 손님들이 쓰레기 밀리오레 상인 같으니",sosoro,1,11,"The staff on the 4th floor of Dongdaemun Migliore is rude and unkind. The staff on the 4th floor of Dongdaemun Migliore is rude and unkind to you. I didn't understand if I was jealous or jealous of a passerby, but I tried to stop him from going to the police station because he didn't want to see a few non-human merchants swearing at Migliore employees, and giving sales rights to a merchant who didn't even have a basic license, so I'm going to the kind department store because they're like garbage milliore merchants."
"친구들이랑 동대문 밀리오레에 갔다가 정말 기분좋게 쇼핑했네요~ 조작된 리뷰 아니에용~ 정말 우연히 들렸다가 너무 친절하게 잘해주셔서 굳이 여기에 찾아서 리뷰까지 씁니다~ 정말이에용~~ㅎㅎ 1층 184호,185호 라고 써있고 상호는 메이(MAY) 에용ㅋㅋ 사장언니 가식적이지도 않고 너~무 좋아요~ 명함도 한장 받아왔네요~ 앞으로 들리면 한번씩 찾아갈게요~! ㅎㅎ",Traveler08620628673,5,11,"I went to Dongdaemun Migliore with my friends and shopped in a good mood. It's not a fake review. They came by chance and they were so nice to me, so I found it here and wrote a review. Really~~~ It says room 184 and 185 on the 1st floor. Sang Ho is MAY. She's not pretentious. She's so good. She got a business card. I'll come visit you if I can hear her. Haha"
급하게 쇼핑하기에 적합 근처 두타. apm까지 쇼핑센터가 많아요 맞은편 옷 도매 가게보다는 가격은 비싸지만 한두벌 급하게 쇼핑할때는 여기가 딱이지요 추천합니다.,jihye L,4,11,"Nearby Dutta, suitable for urgent shopping. There's a lot of shopping centers up to the apm. It's more expensive than the wholesale clothing store across the street, but this is the perfect place to shop in a hurry. I recommend it."
24시간 쇼핑몰 예전만큼의 명성은 못 찾는 듯합니다. 하지만 쇼핑하기에는 더 쾌적한 환경입니다. 외국인들이 한번쯤 가 볼 만한 곳이라고 생각합니다.,Jelsomina,3,11,I don't think I can find the reputation of the 24-hour shopping mall as it used to be. But it's a more pleasant environment for shopping. I think it's a place that foreigners can visit at least once.
"밤에 쇼핑 늦은밤 쇼핑하기 좋은 곳입니다. 가격흥정이 예전같진않지만, 외국인들이 서울와서 쇼핑하기엔 괜찮은 장소입니다.",ychun119,4,11,"It's a good place to shop late at night. Price entertainment is not the same as before, but it is a good place for foreigners to shop in Seoul."
밤 꽃을 보다! 캄캄한 밤! 동대문의 삶이 시작되는 곳. 유행이 번져가는 곳에서 밤 꽃을 보았다. 아름답다. 동대문! 내가 알아 있다는 것을 느낀다. 내 가족이 있다는 것을 느낀다. 사랑한다. 동대문~~~~~,Paul Jin Ho Choi,4,11,Look at the chestnut flowers! A dark night! Where the life of Dongdaemun begins. I saw chestnut flowers in a fashion. Beautiful. Dongdaemun! I feel I know. I feel like I have a family. I love you. Dongdaemun~~~~~~~~~~~~
"쇼핑하기 좋은 곳 예전에는 너무 정신없었는데 요즘에는 쇼핑하기 한결 쾌적해졌습니다. 정말 다양하고 많은 의류와 악세사리, 패션잡화를 판매하고 있으며 정말 많은 매장이 있어 가격도 제각각인 그런곳입니다. 발품 조금 판다면 좋은 옷을 저렴하게 구매할 수 있는 곳입니다.",서리와바기,4,11,"A good place to shop used to be so hectic, but these days, it's much more comfortable to shop. We sell a variety of clothes, accessories, and fashion accessories, and there are so many stores, so the prices are all different. It's a place where you can buy good clothes at a low price if you sell a little bit of the footwear."
"쇼핑하기 좋은 곳 지하부터 맨 꼭대기 층까지 층별로 컨셉에 맞는 쇼핑을 즐길 수 있는 곳. ddp와도 가까워서 쇼핑과 문화생활까지 한 꺼번에 해결할 수 있음. 특히 근처 먹거리도 많으므로, 오래 시간 머무르면서 쇼핑하기에 무척 좋음. 적당한 가격 흥정은 필수!!",PINKSHOW01,4,11,"A good place to shop. From basement to top floor, you can enjoy shopping that fits the concept of each floor. It is close to ddp, so you can solve shopping and cultural life at once. Especially, there are a lot of food nearby, so it's great to stay and shop for a long time. Moderate price bargaining is essential!!"
"다양한 옷,악세서리 구입이 가능한 곳 지하부터 지상층까지 몇층에 걸쳐 다양한 옷들과 악세서리를 구입할 수 있는 쇼핑몰이예요. 주변에 맛있는 식당도 많아서 좋은 것 같아요~",say895,4,11,It is a shopping mall where you can buy various clothes and accessories from the basement to the ground floor. I think it's good because there are many delicious restaurants around.
