u_id,review,u_rate,p_id,review_en
Paradise659656,동대문 쇼핑지역에 있는 의류매장 중심의 쇼핑몰. 지하철역과 가깝고 길 건너에는 DDP가 있다. 또 두타몰같은 면세점도 있어서 유동인구가 정말 많았다. 건물내에는 다양한 음식점도 있고 코스메틱 코너도 있어서 의류 쇼핑 및 간단한 쇼핑하기에 적합하다.,4,1434,"The shopping mall centered on clothing stores in Dongdaemun shopping area. Close to the subway station and across the street is DDP. There were also duty-free shops like Dutamol, so there was a lot of floating population. Inside the building, there are various restaurants and Cosmetics section, so it is suitable for clothing shopping and simple shopping."
AHN按 A,"깔끔한 매장 디스플레이, 옷쇼핑도 좋지만 왠만한 로드샵 화장품 브랜드가 다 들어와 있어서 화장품 쇼핑하기에도 좋구요. Lpoint 앱에 은근 무료쿠폰이나 일정금액 이상 구매했을 때 받을 수 있는 기프트쿠폰이 있어서 잘 애용합니다. 그리고 여기 한식부페도 있고 웨스턴스타일 레스토랑도 있는데 둘다 괜찮고 항상 사람이 붐비지 않아서 좋아요. 주변 쇼핑몰에 사람이 좀 많다면 여긴 좀 한가해서 동대문에서 조용한 분위기 좋아하는 분들께는 최적입니다.",4,1434,"Clean store display and clothing shopping are good, but it's also good for cosmetic shopping because there are all road shop cosmetics brands. I use the Lpoint app because it has a free coupon or gift coupon that I can get when I purchase more than a certain amount. And there are Korean food buffet and western style restaurant, but both are good and it's good because it's not always crowded. If there are a lot of people in the nearby shopping mall, it's a bit free here, so it's perfect for people who like the quiet atmosphere at Dongdaemun."
서리와바기,주변의 다른 쇼핑몰과 다르게 유명브랜드가 입점해 있는 쇼핑몰입니다. 규모가 크지 않아 금방 둘러봅니다. 매장이 깔끔하여 쾌적한 쇼핑이 가능합니다. 푸드코트가 있어 식사도 가능하니 동대문 가신다면 한번 들러볼만합니다. 하지만 세일을 많이 하는 곳은 아니라서 가격적인 메리트는 없었습니다.,4,1434,"It is a shopping mall with famous brands unlike other shopping malls around it. It's not big, so I look around quickly. The store is neat, so you can enjoy a pleasant shopping. There is a food court so you can have a meal, so if you go to Dongdaemun, it's worth a visit. However, there was no price merit because it was not a place that had a lot of sales."
Hot6,"동대문이 이렇게 쇼핑이 편할 줄 몰랐습니다. 이동은 무조건 대중교통으로! 처음 오픈할 땐 정말 사람없었는데, 대기업이 인수한 후 중국인들도 많이 오더군요. 무엇보다 내가 원하는 제품을 저렴하게 살 수 있다는 점이 좋았습니다.",5,1434,"I didn't know Dongdaemun would be this convenient to shop. No matter what you do, you have to use public transportation! When it first opened, there were so few people, but a lot of Chinese people came after a large company took over. Above all, I liked the fact that I could buy the product I wanted cheaply."
믿을만한리뷰어,다른 동대문에 위치한 쇼핑센터보다 쾌적하고 편리하게 쇼핑할 수 있는 곳 입니다. 동대문 역사공원역에서 가깝습니다.,4,1434,This place is more comfortable and convenient than other shopping centers located in Dongdaemun. It's close to Dongdaemun History Park Station.
say895,쇼핑몰에 많은 브랜드가 입점해있어요~ 쇼핑하고 계절밥상 한식뷔페에 가서 밥 먹었는데 너무 맛있었네요 ㅎㅎ,4,1434,There are many brands in the shopping mall. I went shopping and ate at a Korean buffet in Seasons. It was so delicious. Haha
Mr. Fabulous,이 백화점에는 상위층의 레스토랑을 제외하고는 특별한 것이 없으며 고정 가격의 뷔페이며 음식과 옵션이 훌륭합니다. 나는 여기서 다시 먹을 것이다,4,1434,"There's nothing special about this department store except for restaurants on the upper floor, and it's a fixed-price buffet with excellent food and options. I will eat here again."
CanisHan,C (19.05.08) 나는이 쇼핑몰을 내 쇼핑 약속 장소까지 들렀다. 11 시부 터 오픈했습니다. m 내부는 잘 관리되었다. 그러나 근처 다른 쇼핑몰과 어떤 차이점도 발견하지 못했습니다. 쇼핑을 좋아하는 사람들은 좋았지 만 나에게는 그렇지 않았습니다. 이 지역의 일반 쇼핑몰.,3,1434,"C (19.05.08) I stopped by this shopping mall to my shopping appointment. The site of 11 Shibu has been opened. The inside of the m is well managed. But I didn't see any difference from other shopping malls nearby. Shopping lovers were good, but not for me. A general shopping mall in this area."
SurfingWild,"이 대단히 멋진 쇼핑몰은 동대문 호텔에서 짧은 도보 거리에 있으며 동대문 디자인 플라자에서 길 건너편에 있습니다. 그것은 거대한 쇼핑몰이 아니다. 그러나 그것은 큰 Uniqlo 가게, 지하철 역, 어린이를위한 놀이 공간, 마사지 의자와 먹고 마시는 멋진 장소가 많이있다. 우리는 유니클로 (Uniqlo)에서 옷을 사서 아이들이 지하실의 놀이터에서 놀게 한 다음 위층에 멋진 일본 카레 식사를했습니다.",4,1434,"This stunning shopping mall is a short walk from Dongdaemun Hotel and across the street from Dongdaemun Design Plaza. It's not a huge shopping mall. But it has a big Uniqlo store, a subway station, a play area for children, a massage chair, and many wonderful places to eat and drink. We bought clothes from Uniqlo, let the children play in the playground in the basement, and then had a nice Japanese curry upstairs."
Erico2709,이 쇼핑몰은 중급 이상의 상품입니다. 의류는 높은 품질이지만 가격도 그렇습니다. 그들은 7 층에 화려한 푸드 코트가 있지만 정말로 조용한 것 같습니다.,4,1434,"This shopping mall is medium and high. Clothing is of high quality, but so is the price. They have a fancy food court on the 7th floor, but they seem really quiet."
