u_id,review,u_rate,p_id,review_en
bszhang,주제는 먹방투어 ! 남산 왕돈가스가 유명하다하여 차량네비게이션에 등록한 곳이 아닌 바로앞집으로 고고 왜냐면 주차 할 곳이 보이기에 ! 주변을 산책하기에 짱이다,3,595,"The theme is mukbang tour! Namsan Wangdonkatsu is famous, so let's go to the house right in front of the car, not the place where you registered for car navigation, because you can see the parking place! It is the best place to take a walk around."
kwon,뭐 한번 가볼만은 한데 특별하진 않더군요. 케이블카 타느라 많이 기다렸어요. 서울 살지만 첨 갔는데 다시 가고 싶지는 않아요. 친구랑 남산타워서 차한잔 하고 사진찍고 그게 다였네요.,4,595,"It's worth a visit, but it's not special. I've been waiting for a long time to ride the cable car. I live in Seoul, but I don't want to go again. I had a cup of tea with my friend and took a picture. That was all."
Chris,"남산 이야기 서울의 지리학적 중심이라고 하면 남산 지역이 아닐까 한다. 남산에 올라갈 수 있는 방법도 다양하다. 동대입구역에서 갈 수도 있고, 충무로역에서 갈 수도 있고 회현역에서 갈 수도 있다. 동대입구역에는 동국대학교가 있고 충무로역에는 남산골 한옥마을이 있고 회현역 방면에서는 종로도서관이 있다. 남산은 남산 순환 셔틀을 타고 쉽게 올라갈 수 있다. 관광일번지 남산에는 다양한 이야기가 있다.",5,595,"The story of Namsan Mountain may be the geographical center of Seoul. There are also various ways to climb Namsan Mountain. You can go from Dongdaegu Station, Chungmuro Station, or Hoehyeon Station. Dongguk University is located at Dongdaegu Station, Namsangol Hanok Village is located at Chungmuro Station, and Jongno Library is located at Hoehyeon Station. Namsan Mountain can be easily climbed by Namsan Circular Shuttle. There are various stories in Namsan, the number one tourist destination."
Alpertbyun,남산공원 가는 방법은 버스로 제일 빠르고 힘들지않게갈수있습니다. 미세먼지없을때 가면 서울뷰를 한눈에 볼수있습니다.,5,595,"The way to Namsan Park is the fastest and easiest way to get there by bus. When there is no fine dust, you can see Seoul View at a glance."
jiung j,사람이 많았지만 야경이 탁트여 보기 좋았던곳 데이트 코스로 추천하고 운동 산책 삼아서 가기에 오르막 내리막이 반복되어 충분히 서울 사람들이 갈만한 곳입니다!,5,595,"There were many people, but the night view was so nice that it was recommended as a date course, and the uphill and downhill were repeated for exercise walks, so it's a good place for people in Seoul!"
Kim Soojung,오랜만에 남산 다녀왔는데 입구에서부터 여기가 한국인지 중국인지 모를정도로 중국사람이 너무 많았어요... 사실 남산가도 볼건 많이 없지만 그냥 산책겸 사진찍을겸 다녀왔는데 또 안갈거같아요..,2,595,"I went to Namsan after a long time, and there were so many Chinese people from the entrance that I didn't know if this was Korea or China. Actually, I don't have much to see in Namsan, but I just went for a walk and a picture, but I don't think I'm going to go again."
Relax825963,이것때문에 사람들이 많이 찾는다. 외국인들은 내이름은 김삼순 촬영지나 서울의 야경을 즐기기위해서 찾아오는 듯 물론 오랜 데이트 코스로 그래도 남산이다. 서울사람들에게는 무뎌진 곳인듯 케이블카이용은 왕복 9천원 금토는 진짜 사람이 너무많아서 기다려야됨,4,595,"It attracts a lot of people. Foreigners come to Seoul to enjoy the night view of Seoul or the filming location of Kim Sam-soon, and of course, Namsan is still a long date course. As if it is a dull place for Seoulites, Cable Kai is 9,000 won round trip, and Friday is too crowded to wait."
daheey2017,남산타워 전망대 때문에 유명해진 것 같은데 사실 공원 자체에 볼 건 별로 없음. 요즘엔 롯데월드타워 전망대가 더 뜨고 있는 추세. 360도 회전하는 레스토랑에서 야경을 바라보며 저녁식사를 하는 것은 로맨틱함.,3,595,"I think it became famous because of the Namsan Tower Observatory, but there's not much to see in the park itself. The Lotte World Tower observatory is on the rise these days. It is romantic to have dinner at a restaurant that rotates 360 degrees looking at the night view."
407yjj,남산 주변에서 산책하기 좋은 곳입니다. 넓지는 않지만 전용 유료 주차장도 있기 때문에 차 가지고 와도 크게 불편하지 않아요.,5,595,"It's a good place to take a walk around Namsan Mountain. It's not spacious, but there's a private parking lot, so it's not too inconvenient to bring your car."
sanrio2018,졸졸 물흐르는 곳도 있고 아이들 모래놀이터도 있어서 부담없이 방문해서 산책하기 좋아요. 전통놀이 체험하는 곳도 있고 날씨 좋을때 방문하면 다양하게 즐길수있어요!,5,595,"There are places where water flows and children's sand playgrounds, so it's good to visit and take a walk. There is a place where you can experience traditional games and you can enjoy various things when the weather is nice."
