u_id,u_rate,p_id,review,review_en
Qjr,4,1268,좋은 품질의 청과물 약재들 약재들을 구입하기 위해 경동시장을 자주 가는데 다른 식자재들도 품질이 좋아 더더 자주 애용하게 된 재래시장입니다 아주 좋아요,"I often go to Kyungdong Market to buy good quality fruits and medicines, but other food ingredients are also of good quality, so I used it more often. Very good."
Yellow_Windmill,3,1268,"약재뿐만 아니라 한방 약재로 유명한 약재시장과 함께 일반 시장도 함께 있습니다. 채소류도 싱싱하고 좋지만 닭, 생선등도 신선하고 가격도 저렴해서 좋습니다. 물건들에 비해 상인분들의 친절도는 떨어진다는 것이 단점이라 생각합니다.","There is also a general market along with a drug market famous for herbal medicines as well as medicinal herbs. Vegetables are fresh and good, but chicken and fish are fresh and cheap. I think the disadvantage is that the merchants are less kind compared to the items."
snoopy419,4,1268,질좋은 채소와 과일 주말에 가면 정말 많은 분들이 오가는 모습을 볼 수 있습니다. 바퀴달린 장바구니에 밟히는 경우도 있을 정도 입니다. 그래도 저렴하면서도 신선한 채소와 과일을 구입할 수 있어서 꼭 가게 되는 곳이예요.,You can see a lot of people coming and going on quality vegetables and fruits on weekends. Sometimes you get trampled on by a cart on wheels. But it's a must-go place because you can buy cheap and fresh vegetables and fruits.
73jieunk,2,1268,경동시장 청과물시장 몇몇 상인들은 무서워요 모두 그런것은 아니지만 워낙 많은 사람들이 다녀가서 그런지 이해는 되기도 하지만 상인들 조금만 뭐 물어봐도 싫어하고 아주 성격급하고 민감합니다. 살 것 아니면 상품에 터치하는 것은 절대 금물입니다. 조금 살까말까 주저하면 분위기 살벌합니다. 또 kg당 얼마라고 적혀있어 감이 안와 한개 가격이 어느정도인지 물어봐도 살 것 아니면 아주 싫어합니다 아저씨한테 무섭게 욕얻어 먹었어요 아무리 먹고 살기 힘들다해도 분위기 험악해요 좀 친절하면 좋을텐데 아무리 싸다고 해도 (또 어떤것은 그리 싸지도 않은 것,"Kyungdong Market Fruit and Vegetables Market Some merchants are scared Not all of them, but I can understand it because so many people have been there, but merchants don't like it even if they ask a little bit, and they are very sensitive and sensitive. Never touch a product unless you buy it. If you hesitate to buy a little, the atmosphere will be very harsh. It also says how much it costs per kilogram, so I don't know how much it costs, but I don't like it unless I have to buy it. I was horribly insulted by you. No matter how hard it is to make a living, it's a bad atmosphere. It would be nice to be kind, but it's not that cheap."
hyunjook234,1,1268,"사기꾼 천지입니다. 조심하세요. 과일은 속이는 놈이 반이 넘고, 단골장사가 아니라 뜨내기 장사다보니 속입니다. 말만 번지르하게 하는 사람 조심하세요. 서*청과 단발머리 키크고 팔에 문신있는 총각조심..속여서 팝니다..신뢰할수 없는곳 입니다. 집앞 단골가게, 큰 대형마트에서 좀 비싸더라도 사세요. 적어도 속은 안상할껍니다.","I'm Chunji, a swindler. Be careful, because more than half of you cheat on fruits, and they're not regulars, they're tricked. Watch out for those who talk too much. Be careful of the big, bobbed-haired bachelor with tattoos on your arms.I'm selling it by trick.You can't trust this place. Buy it even if it's a little expensive at your regular store in front of your house, or at a large supermarket. At least you'll be relieved."
송 뽀,5,1268,별거다팜 고기 채소 곡류 한약재등 없는것빼고 다있어요 엄마가 좋아하는 시장이라 자주 방문합니다 매우 볼거리 먹거리 살거리많아서 좋아요,"There's nothing else but meat, vegetables, grains, herbal medicine. I visit this market often because it is my mom's favorite market. I like it because it has a lot of things to see and buy."
hshan,4,1268,별게 다잇는 요새는 외국인도 많이 오드라구요 뭐를 보려고 오는지 모르겟지만 없는게 없고 무지 커요 다 못본것 같애요 매일 사람이 많아요,"A lot of foreigners come these days. I don't know what you're coming to see, but there's nothing you don't have, and it's huge. I don't think I've seen it all. There's"
핑크크팬더,5,1268,"저렴한 인삼 베트남 친구가 본국으로 돌아가기 전에 인삼이 필요하다고 해서 들렀습니다. 인삼파는 골목은 1호선 제기동역에서 걸어서 10분정도 걸립니다. 외국인이라고 바가지 없이 사장님이 친절하게 설명해주셔서 인삼 사기 좋습니다. 6년근 인삼은 1kg에 53000원~60000원 정도였습니다. 직접 보고 살 수 있어서 좋고, 보다 저렴한 가격이라 더 좋았습니다. 베트남 친구도 매우 좋아했습니다. 비싼 인삼을 시식하라고 조금 주신 사장님 인심도 좋습니다. 인삼을 구입하시려는 분은 꼭 가시기 바랍니다.","A cheap ginseng Vietnamese friend told me that he needed ginseng before going back home. It takes about 10 minutes to walk from Jegidong Station on Line 1. It's good to buy ginseng because the boss kindly explained that I'm a foreigner. Six-year-old ginseng was about 53,000 won to 60000 won per kilogram. It was good to see and buy in person, and it was better because it was cheaper. My Vietnamese friend also liked it very much. The boss who gave me a little to sample expensive ginseng is also generous. If you want to buy ginseng, please go."
skyseaq,5,1268,"청과물시장(과일시장) 전국각지, 외국의 맛있는 과일은 모두 이곳으로 모여요. 저렴하고 맛있는 과일을 맛볼 수 있고 시장 근처의 감자탕집 치킨집은 저렴하고 맛있어요. 하지만, 재래시장이다 보니 현금을 준비 하셔야 합니다. 또 한바퀴 휘휘 살펴보고 가격비교는 필수~!","All the delicious fruits from all over the country and abroad gather here. You can taste cheap and delicious fruits, and the gamjatang restaurant near the market is cheap and However, since it's a traditional market, you need to prepare cash. Let's go around and compare the price~!"
진섭 안,3,1268,대한민국 대표 재래시장 경동시장을 잘 안와보신 분이면 대부분 길을 물어보지 않으면 못다닐 만큼 엄청 넓습니다. 거기다 수산물시장 한약시장 청과물시장등 이 주변에 위치하여 길을 잃기 쉽습니다. 그대신 그만큼 다양하고 싱싱한 식재료들을 구할수도 있습니다,"If you haven't been to Kyungdong Market, Korea's representative traditional market, it's so spacious that you can't go anywhere without asking for directions. In addition, it is easy to get lost because it is located around here such as the marine product market, the herbal medicine market, and the fruit and vegetable market. Instead, you can get as many fresh ingredients as you can."
