u_id,review,u_rate,p_id,review_en
Peter0516,2017년 12월 27일 어제 처음으로 광장시장을 방문하였습니다. 가장 가운데 위치한 떡복기 오뎅 순대 김밥을 먹었습니다. 원조 마약김밥 앞이며 또 원조 빈대떡 앞가게입니다. 먹는 도중 가격으로 주인과 어떤 손님과 다툼이 있었습니다. 이상하게 생각햤었는데 우리도 같은 사건을 겪었습니다. 분명히 13000원이었는데 15000이 나와 이상하게 생각햤었는데 가격표에 따라 계산해보니 15000원이라 그냥 지불했는데 어제 오면서 생각하니 주인이 2종류의 메뉴를 사용하고있었습니다. 처음메뉴는 순대가격이,4,1404,"I visited Gwangjang Market for the first time yesterday, December 27, 2017. I ate rice cake fish cake fish cake and sundae kimbap in the middle. It's in front of the original drug gimbap and the original pancake shop. There was a quarrel between the owner and a customer over the price while eating. I thought it was weird, but we went through the same thing. It was 13,000 won, but I thought it was strange because it was 15,000 won according to the price list, so I just paid 15,000 won, but when I came here yesterday, the owner was using 2 kinds of menu. The initial menu is the price of sundae."
Relax825963,육회+산낙지에 소주한잔 하러 몇번 가봤는데 외국인들 이거 먹이는 재미가 있고 나도 맛있어서 좋고.. 다만 가격은 좀 쎈편이다. 빈대떡도 유명하다. 근처에 명동 동대문 다 가까워서 한번쯤 들릴만한 곳이다. (알게모르게 집어먹다보면 배가 부름),4,1404,"I've been to raw beef + raw octopus and soju a few times, and I like it because it's fun to feed foreigners and I like it because it's delicious. However, the price is a bit high. Pondae tteok is also famous. Myeong-dong and Dongdaemun are all close by, so it is worth visiting. (Eating without knowing makes me full.)"
bluejay3786,사실 광장시장에서 파는 음식의 맛은 그렇게 특별하진 않습니다. 어디까지나 서민 음식이니까요. 하지만 서울 사람들의 삶을 현장에서 생생하게 볼 수 있다는 점에선 분명 충분히 가치 있는 곳입니다. 현지인들과 어깨를 맞대고 현지의 음식을 먹는 건 분명 여행이 주는 즐거움 중 하나이니 꼭 방문해보시길 권합니다. 방문 전에 1000원짜리 지폐를 충분히 챙겨가세요!,4,1404,"In fact, the taste of food sold in Gwangjang Market is not that special. It's a commoner's food. However, it is definitely worth it in that you can see the lives of the people of Seoul vividly. Eating local food shoulder-to-shoulder with locals is definitely one of the pleasures of traveling, so I recommend you visit. Take enough 1,000 won bills before your visit!"
nanes,"동대문과 가까워서 동대문에서 쇼핑을 한후에 출출함을 달래기 위한 식사 코스로 추천드립니다. 족발, 빈대떡, 떡볶이, 순대, 마약김밥 시장이 커서 왠만한 한식메뉴는 다있고 대부분 장사가 잘되서 왠만하면 다 맛있습니다. 주차가 까다롭고 화장실 가기가 조금 불편한 단점이 있습니다. 주차는 광장시장 노상주차장은 주차가 비싸고 자리가 없을때 뺑뺑이를 돌아야 할수도 있으니 동대문쇼핑몰을 이용하신다면 차라리 근처 쇼핑몰에 주차하시고 구매후에 주차권을 받는 것을 추전드립니다. (살짝 걸어야 함)",4,1404,"As it is close to Dongdaemun, I recommend it as a meal course to relieve my hunger after shopping at Dongdaemun. The market for jokbal, mung bean pancake, tteokbokki, sundae, and drug gimbap is big, so there are all kinds of Korean food menus and most of them are good, so they are all delicious. Parking is difficult and it is a little inconvenient to go to the bathroom. Parking is expensive and you may have to run around when there is no parking space, so if you are using Dongdaemun Shopping Mall, you should rather park at a nearby shopping mall and get a parking ticket after purchase. (Walk lightly)"
Min Chol Kim,"녹두전, 육회를 중심으로 많은 먹거리가 있는 곳이다. 비교적 예전 모습의 식당들이 많기 때문에 위생상 깨끗하다고는 할 수 없지만, 전통적인 재래시장 체험을 하기에는 더할 나위 없이 적합한 장소라고 생각한다. 음식을 주문할 때 가격표가 있는 곳에서 주문하는 것이 좋으며, 카드 결제가 되지 않기 때문에 현금을 두둑히 가지고 가는 것을 추천한다.",4,1404,"It is a place where there are many foods around mung bean pancake and yukhoe. Although it is not hygienic because there are many restaurants with a relatively old appearance, I think it is a perfect place to experience traditional markets. When ordering food, it's better to order at a place with a price tag, and since it doesn't pay by credit card, I recommend you to bring a lot of cash."
Traveling Foodie,"광장시장의 마약김밥+떡볶이는 거의 다 비슷비슷합니다. 굳이 유명한 곳을 찾아가실 필요는 없어요. 어차피 겨자소스맛으로 먹는거니까요. 마약김밥보다 떡볶이에 차이가 좀 있습니다. 소스를 넉넉하게 쓰는 곳과 박하게 쓰는 곳이 차이가 눈으로 구별이 됩니다. 검붉은 소스로 범벅이 된 곳을 찾으세요. 여기 오빠네는 매스컴을 좀 많이 탄 곳이예요. 고든램지와 브리라슨등이 다녀갔습니다 떡볶이 소스를 충분히 시뻘겋게 넣고요, 마약김밥에는 깻잎이 들어가있습니다. 각각 3000 원씩인데 한명이 먹기",4,1404,"Narcotic Gimbap and Tteokbokki in Gwangjang Market are almost the same. You don't have to visit famous places. We're going to eat it with mustard sauce anyway. There is a slight difference in tteokbokki than drug gimbap. The difference between a generous amount of sauce and a thin amount of sauce can be distinguished by the eye. Find a place covered with dark red sauce. My brother's been on the media a lot. Gordon Ramsay and Brirason and so on. Add enough red tteokbokki sauce, and there are perilla leaves in the drug gimbap. It's 3,000 won each, but one person eats it."
H L,광장시장 안에 있는 자선네에서 어묵 순대 만두 국수 김밥을 시켜서 배부르게 먹었네요. 광장시장은 맛있는 음식과 사람들이 북적거려서 분위기가 참 좋아요. 실컷 먹었는데 48000원정도밖에 안 나왔어요. 그런데 광장시장에서는 현금만 받으니까 꼭 현금을 준비하세요.,4,1404,"I ordered fish cake, sundae, dumpling, noodles, and kimbap at the charity store in Gwangjang Market and ate it full. Gwangjang Market has a great atmosphere because it is crowded with delicious food. I ate as much as I could, but it was only 48,000 won. But only cash is accepted at Gwangjang Market, so make sure to prepare cash."
ye0ngjus,서울의 유명한 시장 중 하나로 맛있는 먹거리들이 많은 곳이다. 전통 시장 느낌을 체험해볼 수 있는 곳이라 외국인 관광객들이 한번쯤 방문해봐도 좋을 곳이다.,3,1404,It is one of the famous markets in Seoul and has many delicious food. It is a good place for foreign tourists to visit because they can experience the traditional market feel.
DominicLee9014,"유튜브 보고 너무 맛있어보이는 저렴이 못난이 김밥, 전이라면 환장하는 저로써는 너무 맛나게 먹었던 전!! 그리고 구수한 시장 냄새로 사람의 정이 느껴졌던 하루네요 ㅎ 다시 온다면 또 다른 먹거리들을 한번 찾아봐야겠어요 ㅎㅎ다음엔 국밥도 빵종류도 각양각색으로 많다던데 호떡도 그렇고 곧 추워지니 뜨끈하게 먹고 녹두 빈대떡에 막걸리도 한잔 해봐야 겠네요 ㅎㅎ",5,1404,"The cheap ugly kimbap that looks so good on YouTube, and the pancake that I am crazy about, I ate it so deliciously!! And it's been a day since I felt the sweet smell of the market. If you come back, I'll have to look for other foods. Next time, there are many different kinds of rice soup and bread. Hotteok and soon it's getting cold, so I'll eat hot, mung bean pancake, and makgeolli. Haha"
Choi.J,"광장시장에 가면 먹어야할 것들을 알려드립니다. 1. 육회 2.빈대떡+완자 3.마약김밥 4.수수부꾸미 다른것들은 옵션이고요, 저것들은 꼭 드세요 ㅋㅋㅋ",5,1404,Let me tell you what to eat at Gwangjang Market. 1. Raw beef 2. Bindaetteok + Wanja 3. Drug Gimbap 4. Water-puffer sweetener is an option. Make sure to eat those. LOL
