u_id,review,u_rate,p_id,review_en
Janny,사람 없을줄 예상하고 왔는데 정말 많이 없어서 놀이기구 대기없이 원없이 탔어영 매직패스를 꼭 이용해서 타면 알차게 놀슈잇어영,5,592,"I thought there wouldn't be a lot of people, but there weren't that many people, so I rode it without waiting for rides. If you use magic pass, you'll be able to enjoy it."
문수민,혜성탈출일반줄보다 매직패스를 더 늦게 들여보내줌 오히려 일반줄에탔다면 더 일찍갔을텐데 그게 불만입니다ㅠㅠㅠㅠ,1,592,I would have gone earlier if I had gotten on the regular line instead of letting in the magic pass later than the general line of Comet Escape.ᅲᅲᅲᅲ
Relax825963,1994년 처음가봤다. 그때나 지금이나 여전한 곳 평일에 가면 원없이 즐기고 탈 수 있다...아직 아틀란티스를 못타봤는데 갈때마다 점검 혹은 .. 사건사고가 터져서.. 휴일 혹은 공휴일은 피하시는 것이 좋습니다.,4,592,"I went there for the first time in 1994. I can enjoy and ride whenever I go on weekdays.I haven't been to Atlantis yet, but every time I go, I check or... There's been an accident. You'd better avoid holidays or holidays."
지연 최,비가와도 실내에서 놀이시설을 즐길수가 있음 오래된 곳이긴 하지만 그래도 관리가 잘되어있고 주변에 볼거리도 많습니다,5,592,"It is an old place, but it is well managed and there are many things to see around."
nanes,롯데월드는 실내 어드벤쳐가 있어서 날씨게 상관없이 놀이기구를 탈수 있는 점은 좋아요. 그런데 롯데월드는 항상 느끼는 거지만 사람이 너무 많습니다 ㅎㅎ 젤 대기가 짧은게 30분 긴거는 1시간 50분 이고요.. 매직패스를 예약하려고 해도 몇초만에 끝나버리는 듯요.. 이번에도 신나는 퍼레이드만 실컷 구경하고 왔답니다 ㅎㅎㅎㅎ,2,592,"Lotte World has an indoor adventure, so it's good to ride the rides regardless of the weather. But I always feel that there are too many people in Lotte World. The short waiting time for gel is 30 minutes and the long time is 1 hour and 50 minutes. I'm trying to book a magic pass, but it's over in a matter of seconds. This time, I've been looking around the fun parade. Hehehehe"
jasmin0313,실내와 실외 두 곳 모두 즐길 수 있기에 겨울이든 여름이든 항상 신난다 특히 스릴을 좋아한다면 아틀란티스 ㆍ 자이로스윙 ㆍ 자이로드롭 은 꼭 타보길 !!!,5,592,"It's always exciting in winter or summer because you can enjoy both indoor and outdoor places, especially Atlantis, Gyro Swing, and Gyro Drop if you like thrills!"
Bora Kwon,"초등학생 때부터 애용했던 롯데월드! 각종 통신사, 할인 받기가 용이하고 매직 패스를 이용하면 대기 시간 없이 탑승도 가능하다ㅎㅎ 머리띠도 넘 예쁘닷",4,592,"I've been using Lotte World since I was in elementary school. It is easy to get discounts from various telecommunications companies, and you can get on board without waiting time by using Magic Pass.The headband is so pretty."
고고고,초등학생 아이 둘과 엄마 둘의 롯데월드 방문기~♡ 방학이라 사람이 많긴 했지만 매직패스 덕분에 재밌는 놀이기구도 먼저 타 볼 수 있었어요~♡ 틈틈이 맛있는 군것질꺼리도 사 먹고 아이들끼리 재밌게 놀이기구도 탔답니다~♡,5,592,"Two elementary school kids and two mothers visited Lotte World during vacation, so there were a lot of people, but thanks to Magic Pass, I was able to ride fun rides first.I bought delicious snacks and enjoyed rides with my children.~♡"
깅깅와,개장시간에 맞춰 일찍 왔더니 여유롭게 타고 즐기다 갑니다. 눈이 오는데도 아이는 눈이 와서 더 좋아라 하네요. 캐릭터들도 이쁘고 직원분께서 전체적으로 모두 친절합니다.,5,592,"I came early in time for the opening, so I enjoyed the ride. Even though it's snowing, the child says it's better because it snows. The characters are pretty and the staff members are all kind."
Hanna Y,에*랜드만 가다가 겨울이라 초딩들 데리고 왔는데 애기들꺼 태우긴 너무 시시하고 다른건 줄도 너무 길고 태울것이 너무 없네요 실내엔 온통 유료결제로 가능한것만 있고 돈주고 들어왔는데 왜 안에서 또 유료입장을 해야하는지 ㅠ 너무 하네요.,2,592,"I've only been to E*Land, and I brought some elementary school students in winter, but it's too boring to burn babies, and everything else is too long and there's nothing to burn. There are only paid payments available indoors, and I paid for it, but why do I have to pay inside again? That's so mean."
이만규,포근한 날씨를 맞이하여 정겨운 사람과 함께 좋은 시스템에서 아름다운 풍경을 만끽하며 그리고 롯데를 사랑할 것 같아요. 러브 러브 러브 세상,5,592,"In the warm weather, I think I will enjoy beautiful scenery in a good system with a friendly person and love Lotte. Love love love world"
jek737,다친 내 발은 그냥 무시하고서라도 우리 아이들의 얼굴에서 끊이지 않는 미소를 띄우게 하는 이 곳. 7시간째.. 그 이상을 여기에서 우리 셋은 잘 놀며 행복한 시간을 보내고 있다~ 다시 빠른 시간안에 다시 올 것을 기대하면서~~!! ^^♡,5,592,"This place makes my injured feet smile endlessly on our children's faces, even if they ignore it. For seven hours... more than that, the three of us are having a great time here. Looking forward to coming back soon~!! ^^♡"
정상유운,군대가기전에 칭구랑 와서 혼자 잘 놀다갑니당! 집에 일생겼다고 손절당함ㅜㅜ 다음뻔에 내옆자리에 누군가가 있기를... 다들 파이팅하자고,5,592,"Before I joined the army, I came here with Ching Gu and had a good time alone. I was cut off because I was living in the house. Let's all cheer up."
hyojeong Lim,비가 와도 실내에서 맘껏 놀수 있어서 좋습니다. 날씨 구애받지 않고 놀수 있어서 좋지만 언제나 사람들로 붐벼서 눈치게임하면서 방문해야 하는게 가장큰 단점이네요,4,592,"It's good to be able to play indoors even if it rains. It's nice to be able to play regardless of the weather, but it's always crowded with people, so the biggest drawback is to visit while playing timing games."
Sejin Oh,돈 많이 내면 안기다리고 탈 수 있지만 보통은 15분마다 핸드폰 보느라 같이 온 사람과 대화조차 단절시키는 롯데월드 예전만못함. 직원들 불친절은 기본!^^ 음식 맛도 가성비 개똥망^^,1,592,"If you pay a lot of money, you can not wait and ride it, but Lotte World is not as good as it used to be because you are looking at your cell phone every 15 minutes. Unkindness of employees is a given!^^ The taste of food is also cost-effective ^^^"
정재욱,개꿀잼 ㄹㅇㅍㅌ ㅂㅂㅂㄱ ㄹㅇㅋㅋ 여친이랑 가끔오는데 매직패스 활용잘하면 개꿀로 즐길수있음 얏호크크크크크크크,5,592,"I come here sometimes with my girlfriend and if you use magic pass well, you can enjoy it with honey."
jeff john shong,초1아들과 고3조카를 데리고 와서 신나게 놀다 가네요.. 무식해서 매직패스가 따로 구입하는걸로 생각해서..디즈니랜드. 유니버셜스튜디오처럼.. 저녁 6시에 어플깔고 알게된 사실.. 역시 멍충하면..으휴.. 암튼 대신 줄서는 신세의 하루였지만. 행복하고 즐거웠습니다.,4,592,"I brought my 1st grade son and my 3rd year of high school and had a lot of fun. I'm ignorant, so I think I'm buying a magic pass separately.Disneyland. Like Universal Studios. I downloaded the app at 6 p.m. and found out... As expected, if you're stupid, well, it's been a long day in line instead of a day. I was happy and happy."
박진영,혼자서 롯데월드에 놀러온것은 처음이에요^^. <매직패스>를 처음 사용해봤는데요. 타고 싶었던 놀이기구를 빨리 탈수 있어서 좋았어요^^.,5,592,It's my first time to visit Lotte World alone.^^. It's my first time using Magic Pass. It was nice to be able to ride the rides that I wanted to ride quickly.^^.
Hoon,줄은 줄대로 서고 매직패스는 학생들때문인지 예약조차할수없고 ㅠ ㅠ 12월30일이라 그런지 내년부터 연말은 피해야겟어요.!! ㅜㅜ 놀이기구 3번타니까 마감시간이네요,2,592,"I have to stand in line, and I can't even make a reservation for Magic Pass because of students. Maybe because it's December 30th, I should avoid the end of the year from next year!! ᅮᅮᅮ It's the closing time because it's number 3 ride."
알랍태뽕,진짜 오랜만에 찾은 롯데월드 에 신나고 부푼꿈꾸며 입장 과 동시에 헉ㅜㅜ 사람이 어마어마 하네요ㆍ 패쓰예약도 벌써 꽉 차고 놀이기구도 다 두시간ㅜㅜ 먹거리도 금방 없어져서 한참대기하고ㅜㅜ 평일에 다시 찾아서 즐기고싶네요.,2,592,"As soon as I entered Lotte World in a long time, I was excited and dreamt about it. Wow. It's already full of pass reservations and rides for two hours. I'm waiting for a long time because my food disappeared quickly. I'd like to visit Lotte World again on weekdays."
jungrae,매직패스의 의미가 없다고 생각합니다 롯데에서 느껴지는 매직패스는 일찍온 사람에게만 주는 특혜 늦게 도착한 사람들은 매직패스를 전혀 사용할수가 없네요 애버랜드 벤치마킹좀 하시고 배웠으면 하는 마음이네요 실내라서 아이들 추위에 좀 괜찮다 이정도네요,1,592,"I don't think magic passes mean anything. The magic pass that Lotte feels is given only to those who arrive early, and those who arrive late cannot use it at all. I'd like you to benchmark Everland and learn. It's indoor, so it's nice for kids' cold."
우우우우,외전 정말 재밌어요 강추~~ 다음에도 친구들이랑 놀러오려구요 새해맞이 여러분 모두 새해복많이 받으세요~~ 항상 건강하시고 근하신년입니다,5,592,I'm having a lot of fun with you. I strongly recommend~ I'm going to come visit with my friends next time. Happy New Year to all of you.Always be healthy and it is the year that is near.
ssungwook,"앱에 나오는 대기시간은 현장가면 최소 두배이상이고, 몇자리가 오픈되는지도 모르고 매직패스 예약을 위해 15분마다 앱을 켜고 시간에 맞춰 눌러보지만 예약은 커녕 순식간에 예약완료가 되는 기이한 현상을 두세번 경험하고 나면 다시는 오지 않겠다는 각오를 다지게 된다!!!!",1,592,"The waiting time on the app is at least twice as long as you go to the site, and you turn on the app every 15 minutes to reserve a magic pass, and press it on time, but instead of making a reservation, you're determined not to come back again!!!!!!!!!"
Judy,사람이 많아요 각 어트랙션마다 예상 대기시간을 알 수 있게 입구에 표시가 되면 좋을 것같아요. 실내. 외로 나누어 진 부분은 마음에 듭니다^^,3,592,There are a lot of people. I think it would be good if it was marked at the entrance so that we can know the expected waiting time for each attraction. I like the room. I like the part that's shared alone.^^
Yunsung,정말 즐거운 크리스마스 였습니다. 사람이 많치만 크리스마스공연과 탈것들 볼거리가 풍성한 롯데월드입니다! 8살 딸아이는 이번이 6번째 방문인데도 너무 좋았다고 합니다! 내년에 만나요,4,592,It was a very pleasant Christmas. It is Lotte World with a lot of people to see Christmas performances and rides! My 8-year-old daughter said she loved it even though it was her sixth visit! See you next year.
AnChaewon74,정말 재미있고 정말 신나요!! 퍼레이드도 많이하고 행사도 많고 매직패스로 놀이기구를 많아 탈 수 있어서 좋은거 같아요!!또 먹을것도 많고 맛있어서 최고입니다!,5,592,"It's really fun and exciting!! I think it's good to be able to ride a lot of parades, events, and magic passes!It's also the best because it has a lot to eat and is delicious!"
hyejin,졸잼핵잼굿 사람많아서 아쉬웠지만 타고싶은거는 다탐 개꿀👍👍👍👍 다음에도 방문할예정😊😊😊😊,4,592,"I was sad because there were so many people, but I want to go on a ride, so I'm going to visit next time."
Milla,별 기대 없이 갔는데 한번쯤은 가서 동심의 세계로 돌아가보길 추천합니다. 실내 실외가 있어서 한 겨울 실내에 있으면 춥지도 않고 좋았어요. 주말엔 사람이 많아요!,4,592,I recommend that you go back to the world of childhood at least once when you went there without much expectation. It was nice to stay indoors in the middle of winter because of the outdoor environment. There are many people on weekends!
